files_list,image_name,enrolled,identity_name,ethnicity,Age,Identity,UnifiedQualityScore.scalar,HeadPoseYaw.scalar,HeadPosePitch.scalar,HeadPoseRoll.scalar,children_agegroup
African_113/African_113_22.png,African_113_22,enrolled,African_113,African,9,African_113,45.0,96.0,99.0,100.0,7-9
African_113/African_113_3.png,African_113_3,enrolled,African_113,African,8,African_113,30.0,94.0,80.0,100.0,7-9
African_113/African_113_33.png,African_113_33,enrolled,African_113,African,9,African_113,10.0,94.0,87.0,100.0,7-9
African_113/African_113_4.png,African_113_4,enrolled,African_113,African,9,African_113,26.0,94.0,94.0,100.0,7-9
African_113/African_113_40.png,African_113_40,enrolled,African_113,African,9,African_113,23.0,88.0,100.0,100.0,7-9
African_113/African_113_46.png,African_113_46,enrolled,African_113,African,8,African_113,38.0,97.0,87.0,100.0,7-9
African_113/African_113_49.png,African_113_49,enrolled,African_113,African,7,African_113,18.0,100.0,97.0,100.0,7-9
African_114/African_114_0.png,African_114_0,enrolled,African_114,African,3,African_114,19.0,98.0,100.0,100.0,1-3
African_114/African_114_1.png,African_114_1,enrolled,African_114,African,2,African_114,8.0,94.0,100.0,100.0,1-3
African_114/African_114_2.png,African_114_2,enrolled,African_114,African,6,African_114,13.0,90.0,99.0,100.0,4-6
African_114/African_114_5.png,African_114_5,enrolled,African_114,African,2,African_114,31.0,97.0,100.0,100.0,1-3
African_115/African_115_1.png,African_115_1,enrolled,African_115,African,5,African_115,42.0,100.0,100.0,100.0,4-6
African_115/African_115_3.png,African_115_3,enrolled,African_115,African,7,African_115,24.0,97.0,92.0,100.0,7-9
African_116/African_116_2.png,African_116_2,enrolled,African_116,African,2,African_116,17.0,99.0,94.0,100.0,1-3
African_116/African_116_3.png,African_116_3,enrolled,African_116,African,3,African_116,19.0,99.0,95.0,100.0,1-3
African_119/African_119_14.png,African_119_14,enrolled,African_119,African,15,African_119,15.0,100.0,96.0,100.0,13-15
African_119/African_119_2.png,African_119_2,enrolled,African_119,African,11,African_119,47.0,98.0,98.0,100.0,10-12
African_119/African_119_3.png,African_119_3,enrolled,African_119,African,10,African_119,39.0,83.0,95.0,100.0,10-12
African_119/African_119_4.png,African_119_4,enrolled,African_119,African,10,African_119,67.0,93.0,94.0,100.0,10-12
African_119/African_119_9.png,African_119_9,enrolled,African_119,African,9,African_119,54.0,100.0,98.0,100.0,7-9
African_12/African_12_13.png,African_12_13,enrolled,African_12,African,5,African_12,38.0,96.0,95.0,100.0,4-6
African_12/African_12_16.png,African_12_16,enrolled,African_12,African,5,African_12,51.0,93.0,96.0,100.0,4-6
African_12/African_12_4.png,African_12_4,enrolled,African_12,African,5,African_12,50.0,99.0,99.0,100.0,4-6
African_12/African_12_6.png,African_12_6,enrolled,African_12,African,6,African_12,40.0,99.0,89.0,100.0,4-6
African_12/African_12_8.png,African_12_8,enrolled,African_12,African,6,African_12,33.0,80.0,93.0,99.0,4-6
African_12/African_12_9.png,African_12_9,enrolled,African_12,African,7,African_12,54.0,99.0,94.0,100.0,7-9
African_120/African_120_1.png,African_120_1,enrolled,African_120,African,7,African_120,34.0,99.0,98.0,100.0,7-9
African_121/African_121_0.png,African_121_0,enrolled,African_121,African,5,African_121,13.0,99.0,81.0,100.0,4-6
African_121/African_121_1.png,African_121_1,enrolled,African_121,African,6,African_121,11.0,100.0,94.0,100.0,4-6
African_121/African_121_2.png,African_121_2,enrolled,African_121,African,13,African_121,8.0,84.0,100.0,100.0,13-15
African_126/African_126_0.png,African_126_0,enrolled,African_126,African,3,African_126,31.0,99.0,99.0,100.0,1-3
African_126/African_126_2.png,African_126_2,enrolled,African_126,African,3,African_126,28.0,94.0,99.0,100.0,1-3
African_126/African_126_3.png,African_126_3,enrolled,African_126,African,4,African_126,46.0,99.0,100.0,100.0,4-6
African_126/African_126_5.png,African_126_5,enrolled,African_126,African,4,African_126,10.0,100.0,100.0,99.0,4-6
African_126/African_126_8.png,African_126_8,enrolled,African_126,African,5,African_126,50.0,93.0,100.0,100.0,4-6
African_127/African_127_1.png,African_127_1,enrolled,African_127,African,9,African_127,22.0,100.0,98.0,100.0,7-9
African_127/African_127_6.png,African_127_6,enrolled,African_127,African,15,African_127,21.0,100.0,80.0,100.0,13-15
African_13/African_13_0.png,African_13_0,enrolled,African_13,African,8,African_13,28.0,86.0,79.0,99.0,7-9
African_13/African_13_2.png,African_13_2,enrolled,African_13,African,11,African_13,43.0,95.0,84.0,99.0,10-12
African_13/African_13_3.png,African_13_3,enrolled,African_13,African,10,African_13,33.0,69.0,81.0,96.0,10-12
African_130/African_130_1.png,African_130_1,enrolled,African_130,African,10,African_130,38.0,100.0,86.0,100.0,10-12
African_130/African_130_2.png,African_130_2,enrolled,African_130,African,8,African_130,27.0,100.0,100.0,100.0,7-9
African_131/African_131_0.png,African_131_0,enrolled,African_131,African,5,African_131,58.0,100.0,98.0,100.0,4-6
African_131/African_131_1.png,African_131_1,enrolled,African_131,African,14,African_131,19.0,95.0,96.0,100.0,13-15
African_131/African_131_2.png,African_131_2,enrolled,African_131,African,11,African_131,7.0,97.0,99.0,100.0,10-12
African_131/African_131_3.png,African_131_3,enrolled,African_131,African,6,African_131,67.0,100.0,99.0,100.0,4-6
African_131/African_131_4.png,African_131_4,enrolled,African_131,African,4,African_131,49.0,100.0,93.0,100.0,4-6
African_131/African_131_5.png,African_131_5,enrolled,African_131,African,4,African_131,59.0,100.0,98.0,100.0,4-6
African_132/African_132_0.png,African_132_0,enrolled,African_132,African,6,African_132,37.0,96.0,100.0,100.0,4-6
African_132/African_132_1.png,African_132_1,enrolled,African_132,African,4,African_132,21.0,100.0,100.0,100.0,4-6
African_132/African_132_3.png,African_132_3,enrolled,African_132,African,6,African_132,20.0,100.0,100.0,100.0,4-6
African_134/African_134_0.png,African_134_0,enrolled,African_134,African,7,African_134,25.0,80.0,98.0,99.0,7-9
African_134/African_134_1.png,African_134_1,enrolled,African_134,African,7,African_134,18.0,88.0,86.0,100.0,7-9
African_134/African_134_3.png,African_134_3,enrolled,African_134,African,6,African_134,25.0,98.0,100.0,100.0,4-6
African_134/African_134_4.png,African_134_4,enrolled,African_134,African,6,African_134,29.0,100.0,89.0,100.0,4-6
African_135/African_135_0.png,African_135_0,enrolled,African_135,African,8,African_135,7.0,81.0,78.0,95.0,7-9
African_136/African_136_0.png,African_136_0,enrolled,African_136,African,3,African_136,13.0,94.0,94.0,100.0,1-3
African_136/African_136_1.png,African_136_1,enrolled,African_136,African,7,African_136,6.0,100.0,89.0,100.0,7-9
African_137/African_137_0.png,African_137_0,enrolled,African_137,African,5,African_137,28.0,100.0,100.0,100.0,4-6
African_137/African_137_1.png,African_137_1,enrolled,African_137,African,9,African_137,19.0,89.0,99.0,100.0,7-9
African_138/African_138_0.png,African_138_0,enrolled,African_138,African,5,African_138,37.0,99.0,99.0,100.0,4-6
African_138/African_138_1.png,African_138_1,enrolled,African_138,African,8,African_138,36.0,99.0,98.0,100.0,7-9
African_142/African_142_10.png,African_142_10,enrolled,African_142,African,6,African_142,43.0,98.0,99.0,100.0,4-6
African_142/African_142_11.png,African_142_11,enrolled,African_142,African,7,African_142,40.0,85.0,100.0,100.0,7-9
African_142/African_142_16.png,African_142_16,enrolled,African_142,African,4,African_142,17.0,94.0,99.0,100.0,4-6
African_142/African_142_7.png,African_142_7,enrolled,African_142,African,6,African_142,30.0,100.0,100.0,100.0,4-6
African_142/African_142_8.png,African_142_8,enrolled,African_142,African,4,African_142,31.0,100.0,92.0,100.0,4-6
African_145/African_145_1.png,African_145_1,enrolled,African_145,African,8,African_145,49.0,100.0,100.0,100.0,7-9
African_145/African_145_10.png,African_145_10,enrolled,African_145,African,8,African_145,21.0,100.0,100.0,100.0,7-9
African_145/African_145_13.png,African_145_13,enrolled,African_145,African,9,African_145,31.0,68.0,99.0,100.0,7-9
African_145/African_145_23.png,African_145_23,enrolled,African_145,African,8,African_145,43.0,100.0,100.0,100.0,7-9
African_145/African_145_25.png,African_145_25,enrolled,African_145,African,14,African_145,21.0,64.0,98.0,100.0,13-15
African_145/African_145_9.png,African_145_9,enrolled,African_145,African,9,African_145,36.0,79.0,97.0,100.0,7-9
African_146/African_146_2.png,African_146_2,enrolled,African_146,African,8,African_146,45.0,92.0,99.0,100.0,7-9
African_146/African_146_3.png,African_146_3,enrolled,African_146,African,7,African_146,39.0,95.0,100.0,100.0,7-9
African_146/African_146_4.png,African_146_4,enrolled,African_146,African,8,African_146,46.0,99.0,94.0,100.0,7-9
African_146/African_146_5.png,African_146_5,enrolled,African_146,African,9,African_146,74.0,98.0,100.0,100.0,7-9
African_146/African_146_8.png,African_146_8,enrolled,African_146,African,14,African_146,31.0,87.0,82.0,99.0,13-15
African_147/African_147_0.png,African_147_0,enrolled,African_147,African,6,African_147,39.0,92.0,99.0,100.0,4-6
African_147/African_147_5.png,African_147_5,enrolled,African_147,African,7,African_147,31.0,91.0,98.0,100.0,7-9
African_147/African_147_6.png,African_147_6,enrolled,African_147,African,6,African_147,35.0,100.0,99.0,100.0,4-6
African_147/African_147_7.png,African_147_7,enrolled,African_147,African,7,African_147,16.0,98.0,98.0,100.0,7-9
African_148/African_148_0.png,African_148_0,enrolled,African_148,African,14,African_148,72.0,100.0,100.0,100.0,13-15
African_148/African_148_7.png,African_148_7,enrolled,African_148,African,7,African_148,69.0,98.0,100.0,100.0,7-9
African_148/African_148_8.png,African_148_8,enrolled,African_148,African,7,African_148,50.0,99.0,94.0,100.0,7-9
African_149/African_149_30.png,African_149_30,enrolled,African_149,African,5,African_149,6.0,91.0,95.0,100.0,4-6
African_149/African_149_32.png,African_149_32,enrolled,African_149,African,2,African_149,35.0,92.0,98.0,100.0,1-3
African_15/African_15_10.png,African_15_10,enrolled,African_15,African,8,African_15,45.0,98.0,96.0,100.0,7-9
African_15/African_15_124.png,African_15_124,enrolled,African_15,African,8,African_15,31.0,100.0,99.0,100.0,7-9
African_15/African_15_125.png,African_15_125,enrolled,African_15,African,9,African_15,32.0,100.0,100.0,100.0,7-9
African_15/African_15_182.png,African_15_182,enrolled,African_15,African,9,African_15,3.0,100.0,99.0,100.0,7-9
African_15/African_15_25.png,African_15_25,enrolled,African_15,African,8,African_15,39.0,99.0,100.0,100.0,7-9
African_15/African_15_44.png,African_15_44,enrolled,African_15,African,8,African_15,45.0,100.0,99.0,100.0,7-9
African_15/African_15_5.png,African_15_5,enrolled,African_15,African,9,African_15,24.0,99.0,100.0,100.0,7-9
African_150/African_150_11.png,African_150_11,enrolled,African_150,African,2,African_150,31.0,100.0,100.0,100.0,1-3
African_150/African_150_14.png,African_150_14,enrolled,African_150,African,5,African_150,33.0,92.0,100.0,100.0,4-6
African_150/African_150_15.png,African_150_15,enrolled,African_150,African,3,African_150,31.0,99.0,99.0,100.0,1-3
African_150/African_150_16.png,African_150_16,enrolled,African_150,African,2,African_150,45.0,95.0,97.0,100.0,1-3
African_150/African_150_23.png,African_150_23,enrolled,African_150,African,2,African_150,38.0,100.0,100.0,100.0,1-3
African_150/African_150_26.png,African_150_26,enrolled,African_150,African,3,African_150,50.0,90.0,100.0,100.0,1-3
African_150/African_150_30.png,African_150_30,enrolled,African_150,African,4,African_150,42.0,92.0,99.0,100.0,4-6
African_151/African_151_6.png,African_151_6,enrolled,African_151,African,10,African_151,35.0,100.0,100.0,100.0,10-12
African_152/African_152_0.png,African_152_0,enrolled,African_152,African,10,African_152,36.0,82.0,88.0,100.0,10-12
African_152/African_152_1.png,African_152_1,enrolled,African_152,African,6,African_152,46.0,94.0,99.0,100.0,4-6
African_152/African_152_2.png,African_152_2,enrolled,African_152,African,7,African_152,47.0,84.0,98.0,99.0,7-9
African_152/African_152_4.png,African_152_4,enrolled,African_152,African,9,African_152,28.0,99.0,97.0,100.0,7-9
African_152/African_152_5.png,African_152_5,enrolled,African_152,African,6,African_152,8.0,89.0,99.0,100.0,4-6
African_153/African_153_2.png,African_153_2,enrolled,African_153,African,12,African_153,26.0,72.0,100.0,100.0,10-12
African_153/African_153_4.png,African_153_4,enrolled,African_153,African,9,African_153,48.0,99.0,98.0,100.0,7-9
African_153/African_153_6.png,African_153_6,enrolled,African_153,African,15,African_153,15.0,92.0,100.0,100.0,13-15
African_153/African_153_8.png,African_153_8,enrolled,African_153,African,5,African_153,61.0,98.0,98.0,100.0,4-6
African_156/African_156_6.png,African_156_6,enrolled,African_156,African,10,African_156,41.0,86.0,99.0,100.0,10-12
African_157/African_157_12.png,African_157_12,enrolled,African_157,African,4,African_157,44.0,94.0,99.0,100.0,4-6
African_157/African_157_13.png,African_157_13,enrolled,African_157,African,4,African_157,25.0,93.0,98.0,100.0,4-6
African_157/African_157_14.png,African_157_14,enrolled,African_157,African,4,African_157,32.0,100.0,94.0,100.0,4-6
African_157/African_157_20.png,African_157_20,enrolled,African_157,African,4,African_157,34.0,99.0,100.0,100.0,4-6
African_157/African_157_8.png,African_157_8,enrolled,African_157,African,3,African_157,28.0,97.0,96.0,100.0,1-3
African_158/African_158_12.png,African_158_12,enrolled,African_158,African,8,African_158,41.0,93.0,99.0,100.0,7-9
African_158/African_158_16.png,African_158_16,enrolled,African_158,African,7,African_158,19.0,100.0,95.0,100.0,7-9
African_158/African_158_21.png,African_158_21,enrolled,African_158,African,6,African_158,22.0,100.0,94.0,100.0,4-6
African_158/African_158_24.png,African_158_24,enrolled,African_158,African,5,African_158,23.0,100.0,100.0,100.0,4-6
African_158/African_158_37.png,African_158_37,enrolled,African_158,African,7,African_158,17.0,100.0,94.0,100.0,7-9
African_159/African_159_9.png,African_159_9,enrolled,African_159,African,14,African_159,15.0,74.0,90.0,100.0,13-15
African_16/African_16_0.png,African_16_0,enrolled,African_16,African,5,African_16,16.0,100.0,99.0,100.0,4-6
African_16/African_16_1.png,African_16_1,enrolled,African_16,African,5,African_16,23.0,100.0,100.0,100.0,4-6
African_160/African_160_12.png,African_160_12,enrolled,African_160,African,8,African_160,61.0,100.0,93.0,100.0,7-9
African_160/African_160_2.png,African_160_2,enrolled,African_160,African,10,African_160,42.0,99.0,99.0,100.0,10-12
African_160/African_160_3.png,African_160_3,enrolled,African_160,African,15,African_160,13.0,24.0,93.0,98.0,13-15
African_160/African_160_6.png,African_160_6,enrolled,African_160,African,9,African_160,77.0,99.0,99.0,100.0,7-9
African_160/African_160_7.png,African_160_7,enrolled,African_160,African,8,African_160,61.0,99.0,99.0,100.0,7-9
African_161/African_161_0.png,African_161_0,enrolled,African_161,African,13,African_161,7.0,100.0,94.0,100.0,13-15
African_161/African_161_10.png,African_161_10,enrolled,African_161,African,9,African_161,36.0,99.0,100.0,100.0,7-9
African_161/African_161_3.png,African_161_3,enrolled,African_161,African,9,African_161,21.0,100.0,100.0,100.0,7-9
African_161/African_161_4.png,African_161_4,enrolled,African_161,African,9,African_161,12.0,98.0,97.0,100.0,7-9
African_161/African_161_5.png,African_161_5,enrolled,African_161,African,9,African_161,26.0,95.0,89.0,100.0,7-9
African_163/African_163_10.png,African_163_10,enrolled,African_163,African,8,African_163,44.0,95.0,98.0,100.0,7-9
African_163/African_163_15.png,African_163_15,enrolled,African_163,African,12,African_163,25.0,76.0,99.0,100.0,10-12
African_163/African_163_19.png,African_163_19,enrolled,African_163,African,9,African_163,58.0,100.0,99.0,100.0,7-9
African_163/African_163_22.png,African_163_22,enrolled,African_163,African,12,African_163,31.0,94.0,93.0,100.0,10-12
African_163/African_163_23.png,African_163_23,enrolled,African_163,African,7,African_163,11.0,100.0,90.0,100.0,7-9
African_163/African_163_25.png,African_163_25,enrolled,African_163,African,9,African_163,37.0,100.0,97.0,100.0,7-9
African_164/African_164_23.png,African_164_23,enrolled,African_164,African,3,African_164,21.0,100.0,98.0,100.0,1-3
African_164/African_164_234.png,African_164_234,enrolled,African_164,African,3,African_164,8.0,80.0,99.0,100.0,1-3
African_164/African_164_35.png,African_164_35,enrolled,African_164,African,7,African_164,50.0,98.0,99.0,100.0,7-9
African_165/African_165_0.png,African_165_0,enrolled,African_165,African,6,African_165,7.0,86.0,99.0,100.0,4-6
African_165/African_165_1.png,African_165_1,enrolled,African_165,African,5,African_165,35.0,99.0,93.0,100.0,4-6
African_166/African_166_0.png,African_166_0,enrolled,African_166,African,2,African_166,29.0,99.0,98.0,100.0,1-3
African_166/African_166_2.png,African_166_2,enrolled,African_166,African,4,African_166,22.0,100.0,94.0,100.0,4-6
African_166/African_166_3.png,African_166_3,enrolled,African_166,African,2,African_166,15.0,100.0,99.0,100.0,1-3
African_166/African_166_4.png,African_166_4,enrolled,African_166,African,2,African_166,19.0,100.0,99.0,100.0,1-3
African_166/African_166_5.png,African_166_5,enrolled,African_166,African,1,African_166,25.0,100.0,98.0,100.0,1-3
African_167/African_167_0.png,African_167_0,enrolled,African_167,African,2,African_167,34.0,100.0,92.0,100.0,1-3
African_167/African_167_4.png,African_167_4,enrolled,African_167,African,3,African_167,31.0,97.0,100.0,100.0,1-3
African_168/African_168_0.png,African_168_0,enrolled,African_168,African,2,African_168,36.0,99.0,97.0,100.0,1-3
African_168/African_168_1.png,African_168_1,enrolled,African_168,African,4,African_168,14.0,88.0,96.0,99.0,4-6
African_168/African_168_2.png,African_168_2,enrolled,African_168,African,1,African_168,31.0,100.0,97.0,100.0,1-3
African_168/African_168_5.png,African_168_5,enrolled,African_168,African,1,African_168,36.0,100.0,95.0,100.0,1-3
African_168/African_168_7.png,African_168_7,enrolled,African_168,African,2,African_168,26.0,88.0,91.0,100.0,1-3
African_169/African_169_1.png,African_169_1,enrolled,African_169,African,7,African_169,20.0,100.0,100.0,100.0,7-9
African_169/African_169_10.png,African_169_10,enrolled,African_169,African,4,African_169,54.0,100.0,95.0,100.0,4-6
African_169/African_169_4.png,African_169_4,enrolled,African_169,African,7,African_169,55.0,97.0,92.0,100.0,7-9
African_169/African_169_6.png,African_169_6,enrolled,African_169,African,7,African_169,28.0,100.0,96.0,100.0,7-9
African_169/African_169_7.png,African_169_7,enrolled,African_169,African,10,African_169,49.0,92.0,94.0,100.0,10-12
African_17/African_17_0.png,African_17_0,enrolled,African_17,African,5,African_17,21.0,100.0,97.0,100.0,4-6
African_17/African_17_2.png,African_17_2,enrolled,African_17,African,7,African_17,27.0,100.0,100.0,100.0,7-9
African_172/African_172_34.png,African_172_34,enrolled,African_172,African,10,African_172,78.0,85.0,98.0,100.0,10-12
African_173/African_173_0.png,African_173_0,enrolled,African_173,African,10,African_173,19.0,100.0,85.0,100.0,10-12
African_173/African_173_1.png,African_173_1,enrolled,African_173,African,9,African_173,36.0,73.0,82.0,98.0,7-9
African_173/African_173_2.png,African_173_2,enrolled,African_173,African,10,African_173,35.0,72.0,94.0,99.0,10-12
African_174/African_174_11.png,African_174_11,enrolled,African_174,African,7,African_174,67.0,96.0,100.0,100.0,7-9
African_174/African_174_5.png,African_174_5,enrolled,African_174,African,9,African_174,44.0,100.0,100.0,100.0,7-9
African_174/African_174_8.png,African_174_8,enrolled,African_174,African,8,African_174,61.0,100.0,95.0,100.0,7-9
African_175/African_175_15.png,African_175_15,enrolled,African_175,African,6,African_175,32.0,100.0,97.0,100.0,4-6
African_175/African_175_38.png,African_175_38,enrolled,African_175,African,8,African_175,26.0,100.0,99.0,100.0,7-9
African_175/African_175_41.png,African_175_41,enrolled,African_175,African,8,African_175,38.0,100.0,100.0,100.0,7-9
African_175/African_175_82.png,African_175_82,enrolled,African_175,African,9,African_175,19.0,81.0,83.0,100.0,7-9
African_176/African_176_4.png,African_176_4,enrolled,African_176,African,11,African_176,53.0,99.0,99.0,100.0,10-12
African_176/African_176_9.png,African_176_9,enrolled,African_176,African,11,African_176,64.0,100.0,100.0,98.0,10-12
African_178/African_178_18.png,African_178_18,enrolled,African_178,African,10,African_178,52.0,100.0,95.0,100.0,10-12
African_178/African_178_39.png,African_178_39,enrolled,African_178,African,13,African_178,71.0,100.0,93.0,100.0,13-15
African_178/African_178_44.png,African_178_44,enrolled,African_178,African,15,African_178,63.0,100.0,85.0,100.0,13-15
African_178/African_178_64.png,African_178_64,enrolled,African_178,African,10,African_178,55.0,99.0,99.0,100.0,10-12
African_178/African_178_74.png,African_178_74,enrolled,African_178,African,8,African_178,16.0,88.0,98.0,99.0,7-9
African_178/African_178_77.png,African_178_77,enrolled,African_178,African,13,African_178,33.0,100.0,72.0,99.0,13-15
African_178/African_178_84.png,African_178_84,enrolled,African_178,African,12,African_178,34.0,98.0,99.0,100.0,10-12
African_18/African_18_0.png,African_18_0,enrolled,African_18,African,5,African_18,16.0,96.0,93.0,100.0,4-6
African_18/African_18_1.png,African_18_1,enrolled,African_18,African,5,African_18,30.0,99.0,97.0,100.0,4-6
African_18/African_18_2.png,African_18_2,enrolled,African_18,African,6,African_18,16.0,99.0,92.0,100.0,4-6
African_180/African_180_0.png,African_180_0,enrolled,African_180,African,10,African_180,22.0,69.0,100.0,100.0,10-12
African_180/African_180_18.png,African_180_18,enrolled,African_180,African,11,African_180,35.0,99.0,85.0,100.0,10-12
African_180/African_180_33.png,African_180_33,enrolled,African_180,African,11,African_180,44.0,100.0,90.0,100.0,10-12
African_180/African_180_7.png,African_180_7,enrolled,African_180,African,11,African_180,23.0,98.0,87.0,100.0,10-12
African_181/African_181_0.png,African_181_0,enrolled,African_181,African,3,African_181,19.0,100.0,100.0,100.0,1-3
African_181/African_181_2.png,African_181_2,enrolled,African_181,African,6,African_181,16.0,71.0,97.0,100.0,4-6
African_181/African_181_3.png,African_181_3,enrolled,African_181,African,2,African_181,29.0,100.0,99.0,100.0,1-3
African_182/African_182_4.png,African_182_4,enrolled,African_182,African,15,African_182,62.0,100.0,100.0,100.0,13-15
African_184/African_184_1.png,African_184_1,enrolled,African_184,African,11,African_184,53.0,98.0,98.0,100.0,10-12
African_184/African_184_11.png,African_184_11,enrolled,African_184,African,11,African_184,28.0,95.0,86.0,100.0,10-12
African_184/African_184_12.png,African_184_12,enrolled,African_184,African,9,African_184,14.0,100.0,88.0,100.0,7-9
African_184/African_184_13.png,African_184_13,enrolled,African_184,African,13,African_184,24.0,97.0,98.0,100.0,13-15
African_184/African_184_8.png,African_184_8,enrolled,African_184,African,10,African_184,36.0,97.0,91.0,100.0,10-12
African_185/African_185_0.png,African_185_0,enrolled,African_185,African,7,African_185,49.0,99.0,97.0,100.0,7-9
African_188/African_188_0.png,African_188_0,enrolled,African_188,African,5,African_188,7.0,98.0,83.0,100.0,4-6
African_188/African_188_1.png,African_188_1,enrolled,African_188,African,3,African_188,10.0,100.0,86.0,100.0,1-3
African_189/African_189_0.png,African_189_0,enrolled,African_189,African,8,African_189,36.0,96.0,100.0,99.0,7-9
African_189/African_189_2.png,African_189_2,enrolled,African_189,African,8,African_189,48.0,100.0,99.0,100.0,7-9
African_19/African_19_3.png,African_19_3,enrolled,African_19,African,11,African_19,39.0,89.0,94.0,100.0,10-12
African_19/African_19_6.png,African_19_6,enrolled,African_19,African,6,African_19,61.0,98.0,98.0,100.0,4-6
African_19/African_19_9.png,African_19_9,enrolled,African_19,African,7,African_19,66.0,96.0,100.0,100.0,7-9
African_191/African_191_12.png,African_191_12,enrolled,African_191,African,8,African_191,64.0,99.0,99.0,100.0,7-9
African_191/African_191_14.png,African_191_14,enrolled,African_191,African,7,African_191,53.0,99.0,100.0,100.0,7-9
African_191/African_191_18.png,African_191_18,enrolled,African_191,African,9,African_191,23.0,96.0,100.0,100.0,7-9
African_191/African_191_19.png,African_191_19,enrolled,African_191,African,8,African_191,49.0,93.0,100.0,100.0,7-9
African_191/African_191_20.png,African_191_20,enrolled,African_191,African,7,African_191,69.0,99.0,100.0,100.0,7-9
African_191/African_191_22.png,African_191_22,enrolled,African_191,African,15,African_191,15.0,77.0,99.0,99.0,13-15
African_191/African_191_24.png,African_191_24,enrolled,African_191,African,8,African_191,69.0,100.0,99.0,100.0,7-9
African_191/African_191_6.png,African_191_6,enrolled,African_191,African,8,African_191,46.0,100.0,100.0,100.0,7-9
African_191/African_191_7.png,African_191_7,enrolled,African_191,African,10,African_191,62.0,96.0,100.0,100.0,10-12
African_191/African_191_8.png,African_191_8,enrolled,African_191,African,8,African_191,66.0,99.0,100.0,100.0,7-9
African_192/African_192_0.png,African_192_0,enrolled,African_192,African,8,African_192,26.0,71.0,99.0,100.0,7-9
African_192/African_192_12.png,African_192_12,enrolled,African_192,African,4,African_192,22.0,95.0,100.0,100.0,4-6
African_192/African_192_2.png,African_192_2,enrolled,African_192,African,15,African_192,42.0,93.0,96.0,100.0,13-15
African_192/African_192_5.png,African_192_5,enrolled,African_192,African,8,African_192,34.0,100.0,98.0,100.0,7-9
African_192/African_192_7.png,African_192_7,enrolled,African_192,African,14,African_192,40.0,94.0,97.0,100.0,13-15
African_193/African_193_15.png,African_193_15,enrolled,African_193,African,7,African_193,51.0,100.0,99.0,100.0,7-9
African_193/African_193_16.png,African_193_16,enrolled,African_193,African,9,African_193,18.0,100.0,100.0,100.0,7-9
African_193/African_193_2.png,African_193_2,enrolled,African_193,African,7,African_193,17.0,99.0,97.0,100.0,7-9
African_193/African_193_21.png,African_193_21,enrolled,African_193,African,11,African_193,10.0,65.0,94.0,100.0,10-12
African_194/African_194_6.png,African_194_6,enrolled,African_194,African,15,African_194,65.0,82.0,97.0,100.0,13-15
African_195/African_195_5.png,African_195_5,enrolled,African_195,African,4,African_195,7.0,95.0,82.0,99.0,4-6
African_195/African_195_8.png,African_195_8,enrolled,African_195,African,2,African_195,10.0,99.0,100.0,100.0,1-3
African_197/African_197_0.png,African_197_0,enrolled,African_197,African,10,African_197,88.0,97.0,100.0,100.0,10-12
