,image_name,Age,ethnicity,children_agegroup,identity_name
75,Caucasian_1382_0,0,Caucasian,0-3,Caucasian_1382
76,Caucasian_1376_1,4,Caucasian,4-6,Caucasian_1376
77,Caucasian_190_8,1,Caucasian,0-3,Caucasian_190
78,African_426_2,35,African,,African_426
79,Asian_265_7,10,Asian,10-12,Asian_265
80,Caucasian_1279_12,5,Caucasian,4-6,Caucasian_1279
81,Asian_150_0,2,Asian,0-3,Asian_150
82,Caucasian_1058_3,0,Caucasian,0-3,Caucasian_1058
83,African_368_0,6,African,4-6,African_368
84,Asian_236_1,6,Asian,4-6,Asian_236
85,Caucasian_274_1,1,Caucasian,0-3,Caucasian_274
86,Indian_522_5,16,Indian,16-18,Indian_522
87,Caucasian_137_9,5,Caucasian,4-6,Caucasian_137
88,African_173_0,10,African,10-12,African_173
89,African_290_4,6,African,4-6,African_290
90,Asian_576_4,10,Asian,10-12,Asian_576
91,Asian_415_1,2,Asian,0-3,Asian_415
92,Asian_493_13,1,Asian,0-3,Asian_493
93,Caucasian_68_40,7,Caucasian,7-9,Caucasian_68
94,Indian_563_2,5,Indian,4-6,Indian_563
95,Caucasian_1218_11,0,Caucasian,0-3,Caucasian_1218
96,Caucasian_1327_0,6,Caucasian,4-6,Caucasian_1327
97,Caucasian_1364_36,8,Caucasian,7-9,Caucasian_1364
98,African_48_0,12,African,10-12,African_48
99,Asian_236_5,8,Asian,7-9,Asian_236
100,Asian_192_8,1,Asian,0-3,Asian_192
101,Asian_202_4,12,Asian,10-12,Asian_202
102,Caucasian_469_9,2,Caucasian,0-3,Caucasian_469
103,Caucasian_1308_4,8,Caucasian,7-9,Caucasian_1308
104,African_331_0,6,African,4-6,African_331
105,Indian_648_7,8,Indian,7-9,Indian_648
106,African_454_8,9,African,7-9,African_454
107,African_484_9,5,African,4-6,African_484
108,Asian_284_42,6,Asian,4-6,Asian_284
109,Caucasian_495_5,2,Caucasian,0-3,Caucasian_495
110,African_193_2,7,African,7-9,African_193
111,Caucasian_226_10,1,Caucasian,0-3,Caucasian_226
112,Caucasian_1033_14,3,Caucasian,0-3,Caucasian_1033
113,Caucasian_253_45,2,Caucasian,0-3,Caucasian_253
114,Caucasian_349_12,2,Caucasian,0-3,Caucasian_349
115,Caucasian_1382_22,1,Caucasian,0-3,Caucasian_1382
116,Indian_328_4,30,Indian,,Indian_328
117,Caucasian_1037_0,2,Caucasian,0-3,Caucasian_1037
118,Caucasian_470_14,0,Caucasian,0-3,Caucasian_470
119,Caucasian_521_52,2,Caucasian,0-3,Caucasian_521
120,African_87_1,12,African,10-12,African_87
121,Caucasian_483_5,1,Caucasian,0-3,Caucasian_483
122,Asian_420_69,4,Asian,4-6,Asian_420
123,Caucasian_1327_10,5,Caucasian,4-6,Caucasian_1327
124,African_146_4,8,African,7-9,African_146
125,Caucasian_1013_5,0,Caucasian,0-3,Caucasian_1013
126,African_435_4,6,African,4-6,African_435
127,Indian_35_1,30,Indian,,Indian_35
128,Indian_613_10,21,Indian,,Indian_613
129,Caucasian_520_42,3,Caucasian,0-3,Caucasian_520
130,African_113_11,12,African,10-12,African_113
131,Indian_120_0,12,Indian,10-12,Indian_120
132,Caucasian_1254_0,2,Caucasian,0-3,Caucasian_1254
133,Asian_303_2,9,Asian,7-9,Asian_303
134,Caucasian_270_2,5,Caucasian,4-6,Caucasian_270
135,Asian_121_7,3,Asian,0-3,Asian_121
136,Asian_104_27,10,Asian,10-12,Asian_104
137,Caucasian_50_29,1,Caucasian,0-3,Caucasian_50
138,Caucasian_348_16,5,Caucasian,4-6,Caucasian_348
139,Caucasian_1253_6,7,Caucasian,7-9,Caucasian_1253
140,Indian_569_2,9,Indian,7-9,Indian_569
141,Caucasian_1362_7,12,Caucasian,10-12,Caucasian_1362
142,Caucasian_499_10,7,Caucasian,7-9,Caucasian_499
143,Asian_386_43,9,Asian,7-9,Asian_386
144,Caucasian_263_32,7,Caucasian,7-9,Caucasian_263
145,Indian_286_28,5,Indian,4-6,Indian_286
146,Asian_153_33,10,Asian,10-12,Asian_153
147,Asian_718_15,4,Asian,4-6,Asian_718
148,Indian_115_2,16,Indian,16-18,Indian_115
149,African_482_6,9,African,7-9,African_482
150,African_487_11,26,African,,African_487
151,Indian_557_18,25,Indian,,Indian_557
152,Indian_187_0,8,Indian,7-9,Indian_187
153,Indian_678_2,7,Indian,7-9,Indian_678
154,Asian_723_16,5,Asian,4-6,Asian_723
155,African_333_8,4,African,4-6,African_333
156,African_104_1,26,African,,African_104
157,Caucasian_223_4,3,Caucasian,0-3,Caucasian_223
158,African_190_9,25,African,,African_190
159,Caucasian_486_11,0,Caucasian,0-3,Caucasian_486
160,Asian_7_68,1,Asian,0-3,Asian_7
161,Asian_167_1,9,Asian,7-9,Asian_167
162,Asian_135_11,25,Asian,,Asian_135
163,African_730_1,2,African,0-3,African_730
164,African_412_47,13,African,13-15,African_412
165,African_26_1,17,African,16-18,African_26
166,Caucasian_1104_15,1,Caucasian,0-3,Caucasian_1104
167,Caucasian_542_3,4,Caucasian,4-6,Caucasian_542
168,Asian_489_46,13,Asian,13-15,Asian_489
169,Indian_679_4,18,Indian,16-18,Indian_679
170,African_297_17,6,African,4-6,African_297
171,Asian_47_3,6,Asian,4-6,Asian_47
172,Asian_519_57,2,Asian,0-3,Asian_519
173,Caucasian_320_26,8,Caucasian,7-9,Caucasian_320
174,African_313_38,20,African,,African_313
175,African_384_6,2,African,0-3,African_384
176,Asian_628_70,6,Asian,4-6,Asian_628
177,African_55_0,22,African,,African_55
178,Indian_328_0,34,Indian,,Indian_328
179,Indian_279_0,9,Indian,7-9,Indian_279
180,African_681_23,4,African,4-6,African_681
181,Asian_409_7,14,Asian,13-15,Asian_409
182,Caucasian_1167_0,4,Caucasian,4-6,Caucasian_1167
183,Indian_415_0,15,Indian,13-15,Indian_415
184,Indian_599_36,9,Indian,7-9,Indian_599
185,African_301_0,20,African,,African_301
186,Caucasian_352_7,8,Caucasian,7-9,Caucasian_352
187,Asian_735_0,5,Asian,4-6,Asian_735
188,Asian_523_5,1,Asian,0-3,Asian_523
189,Caucasian_459_8,7,Caucasian,7-9,Caucasian_459
190,Asian_500_3,11,Asian,10-12,Asian_500
191,Caucasian_16_1,2,Caucasian,0-3,Caucasian_16
192,Asian_456_0,3,Asian,0-3,Asian_456
193,Asian_484_2,5,Asian,4-6,Asian_484
194,African_15_10,8,African,7-9,African_15
195,African_156_16,17,African,16-18,African_156
196,Caucasian_1278_2,8,Caucasian,7-9,Caucasian_1278
197,Asian_463_14,5,Asian,4-6,Asian_463
198,Caucasian_8_41,2,Caucasian,0-3,Caucasian_8
199,Indian_568_10,5,Indian,4-6,Indian_568
200,Caucasian_1029_23,8,Caucasian,7-9,Caucasian_1029
201,Indian_514_2,9,Indian,7-9,Indian_514
202,Indian_490_4,11,Indian,10-12,Indian_490
203,Caucasian_1126_23,4,Caucasian,4-6,Caucasian_1126
204,Asian_299_1,2,Asian,0-3,Asian_299
205,Caucasian_1015_1,6,Caucasian,4-6,Caucasian_1015
206,Asian_121_3,3,Asian,0-3,Asian_121
207,African_580_17,5,African,4-6,African_580
208,African_422_9,7,African,7-9,African_422
209,Asian_562_8,5,Asian,4-6,Asian_562
210,Indian_483_2,6,Indian,4-6,Indian_483
211,Indian_338_1,2,Indian,0-3,Indian_338
212,Caucasian_1164_1,3,Caucasian,0-3,Caucasian_1164
213,Asian_339_64,10,Asian,10-12,Asian_339
214,Asian_661_12,38,Asian,,Asian_661
215,Indian_437_13,2,Indian,0-3,Indian_437
216,Indian_392_15,5,Indian,4-6,Indian_392
217,Asian_159_2,4,Asian,4-6,Asian_159
218,Indian_696_2,13,Indian,13-15,Indian_696
219,Caucasian_342_41,4,Caucasian,4-6,Caucasian_342
220,African_417_37,18,African,16-18,African_417
221,Caucasian_1221_13,0,Caucasian,0-3,Caucasian_1221
222,Asian_261_1,7,Asian,7-9,Asian_261
223,Caucasian_1170_15,8,Caucasian,7-9,Caucasian_1170
224,Indian_459_15,20,Indian,,Indian_459
225,African_558_31,5,African,4-6,African_558
226,Caucasian_359_5,4,Caucasian,4-6,Caucasian_359
227,African_479_2,23,African,,African_479
228,Caucasian_390_29,15,Caucasian,13-15,Caucasian_390
229,Asian_133_1,4,Asian,4-6,Asian_133
230,Indian_421_2,19,Indian,,Indian_421
231,Asian_218_51,8,Asian,7-9,Asian_218
232,Caucasian_1057_214,8,Caucasian,7-9,Caucasian_1057
233,Asian_363_1,9,Asian,7-9,Asian_363
234,Asian_462_77,2,Asian,0-3,Asian_462
235,Caucasian_40_400,8,Caucasian,7-9,Caucasian_40
236,Asian_618_3,2,Asian,0-3,Asian_618
237,Indian_319_9,12,Indian,10-12,Indian_319
238,Caucasian_1107_45,0,Caucasian,0-3,Caucasian_1107
239,African_670_11,28,African,,African_670
240,Caucasian_417_24,10,Caucasian,10-12,Caucasian_417
241,Caucasian_74_5,10,Caucasian,10-12,Caucasian_74
242,Indian_106_15,21,Indian,,Indian_106
243,Indian_428_16,4,Indian,4-6,Indian_428
244,African_646_0,19,African,,African_646
245,Asian_402_38,7,Asian,7-9,Asian_402
246,Asian_715_55,2,Asian,0-3,Asian_715
247,Caucasian_1286_2,2,Caucasian,0-3,Caucasian_1286
248,Asian_103_0,34,Asian,,Asian_103
249,Indian_353_3,6,Indian,4-6,Indian_353
250,Indian_63_1,14,Indian,13-15,Indian_63
252,Asian_416_17,1,Asian,0-3,Asian_416
253,Indian_526_1,0,Indian,0-3,Indian_526
254,Asian_335_35,21,Asian,,Asian_335
255,Caucasian_129_79,1,Caucasian,0-3,Caucasian_129
256,Indian_638_7,2,Indian,0-3,Indian_638
257,Caucasian_496_24,10,Caucasian,10-12,Caucasian_496
258,Caucasian_205_56,7,Caucasian,7-9,Caucasian_205
259,Asian_149_43,2,Asian,0-3,Asian_149
260,African_411_0,13,African,13-15,African_411
261,Indian_56_1,7,Indian,7-9,Indian_56
262,African_540_5,9,African,7-9,African_540
263,African_475_11,8,African,7-9,African_475
264,Indian_333_15,30,Indian,,Indian_333
265,Asian_723_15,7,Asian,7-9,Asian_723
266,African_151_3,21,African,,African_151
267,Caucasian_1118_17,13,Caucasian,13-15,Caucasian_1118
268,African_534_3,7,African,7-9,African_534
269,Asian_409_36,8,Asian,7-9,Asian_409
270,Indian_326_7,8,Indian,7-9,Indian_326
271,Indian_424_0,3,Indian,0-3,Indian_424
272,Asian_486_22,30,Asian,,Asian_486
273,Indian_72_0,9,Indian,7-9,Indian_72
274,African_780_1,17,African,16-18,African_780
275,African_519_20,32,African,,African_519
276,Caucasian_126_58,0,Caucasian,0-3,Caucasian_126
277,Asian_150_6,1,Asian,0-3,Asian_150
278,African_675_0,18,African,16-18,African_675
279,Asian_417_7,2,Asian,0-3,Asian_417
280,Indian_588_0,2,Indian,0-3,Indian_588
281,African_649_3,28,African,,African_649
282,Asian_98_19,3,Asian,0-3,Asian_98
283,African_452_25,6,African,4-6,African_452
284,Indian_105_15,8,Indian,7-9,Indian_105
285,Caucasian_383_6,2,Caucasian,0-3,Caucasian_383
286,Indian_548_2,3,Indian,0-3,Indian_548
287,Caucasian_488_46,1,Caucasian,0-3,Caucasian_488
288,Caucasian_19_42,16,Caucasian,16-18,Caucasian_19
289,African_176_9,11,African,10-12,African_176
290,Indian_668_1,0,Indian,0-3,Indian_668
291,Caucasian_451_31,3,Caucasian,0-3,Caucasian_451
292,Asian_604_12,4,Asian,4-6,Asian_604
293,Caucasian_577_3,3,Caucasian,0-3,Caucasian_577
294,Indian_441_0,5,Indian,4-6,Indian_441
295,Caucasian_244_17,2,Caucasian,0-3,Caucasian_244
296,Caucasian_1075_3,1,Caucasian,0-3,Caucasian_1075
297,Caucasian_135_6,2,Caucasian,0-3,Caucasian_135
298,African_313_39,18,African,16-18,African_313
299,Asian_381_59,0,Asian,0-3,Asian_381
300,Asian_343_92,8,Asian,7-9,Asian_343
301,Asian_477_4,27,Asian,,Asian_477
302,Asian_169_9,2,Asian,0-3,Asian_169
303,Indian_371_0,22,Indian,,Indian_371
305,Indian_348_8,2,Indian,0-3,Indian_348
306,Caucasian_218_81,2,Caucasian,0-3,Caucasian_218
307,Caucasian_164_26,2,Caucasian,0-3,Caucasian_164
308,African_494_39,20,African,,African_494
309,Asian_589_5,15,Asian,13-15,Asian_589
310,Caucasian_1384_13,2,Caucasian,0-3,Caucasian_1384
311,Indian_55_0,10,Indian,10-12,Indian_55
312,Asian_707_1,1,Asian,0-3,Asian_707
313,Caucasian_1116_3,1,Caucasian,0-3,Caucasian_1116
314,Asian_566_33,1,Asian,0-3,Asian_566
315,Caucasian_458_81,11,Caucasian,10-12,Caucasian_458
316,Asian_207_1,14,Asian,13-15,Asian_207
317,African_517_3,12,African,10-12,African_517
318,Indian_59_2,15,Indian,13-15,Indian_59
319,Asian_314_1,4,Asian,4-6,Asian_314
320,Indian_615_0,29,Indian,,Indian_615
321,Asian_124_1,2,Asian,0-3,Asian_124
322,Caucasian_1092_45,4,Caucasian,4-6,Caucasian_1092
323,Asian_534_14,3,Asian,0-3,Asian_534
325,Asian_112_0,5,Asian,4-6,Asian_112
326,Asian_262_10,13,Asian,13-15,Asian_262
327,Indian_387_0,15,Indian,13-15,Indian_387
328,Asian_445_8,7,Asian,7-9,Asian_445
329,Caucasian_106_5,11,Caucasian,10-12,Caucasian_106
330,Asian_279_3,11,Asian,10-12,Asian_279
331,Indian_607_2,6,Indian,4-6,Indian_607
332,Asian_317_5,6,Asian,4-6,Asian_317
333,Asian_140_17,4,Asian,4-6,Asian_140
334,Caucasian_564_51,1,Caucasian,0-3,Caucasian_564
335,Caucasian_363_2,6,Caucasian,4-6,Caucasian_363
336,Caucasian_1233_31,4,Caucasian,4-6,Caucasian_1233
337,African_585_8,3,African,0-3,African_585
338,Caucasian_1287_2,1,Caucasian,0-3,Caucasian_1287
339,African_15_5,9,African,7-9,African_15
340,African_419_4,6,African,4-6,African_419
341,African_252_0,11,African,10-12,African_252
342,Indian_527_3,29,Indian,,Indian_527
343,Caucasian_494_26,2,Caucasian,0-3,Caucasian_494
344,African_104_0,25,African,,African_104
345,Caucasian_1103_16,3,Caucasian,0-3,Caucasian_1103
346,African_18_0,5,African,4-6,African_18
347,Indian_130_23,18,Indian,16-18,Indian_130
348,African_367_26,8,African,7-9,African_367
349,Caucasian_210_19,1,Caucasian,0-3,Caucasian_210
350,Caucasian_1190_7,2,Caucasian,0-3,Caucasian_1190
351,Caucasian_468_3,3,Caucasian,0-3,Caucasian_468
352,Caucasian_1233_53,0,Caucasian,0-3,Caucasian_1233
353,Asian_480_86,2,Asian,0-3,Asian_480
354,Asian_31_19,2,Asian,0-3,Asian_31
355,Asian_42_3,6,Asian,4-6,Asian_42
356,Indian_113_1,13,Indian,13-15,Indian_113
357,Indian_49_12,21,Indian,,Indian_49
358,Indian_241_6,9,Indian,7-9,Indian_241
359,Caucasian_572_2,4,Caucasian,4-6,Caucasian_572
360,Asian_42_9,5,Asian,4-6,Asian_42
361,African_308_0,16,African,16-18,African_308
362,Caucasian_1030_0,0,Caucasian,0-3,Caucasian_1030
363,Asian_121_2,3,Asian,0-3,Asian_121
364,Asian_234_34,13,Asian,13-15,Asian_234
365,Indian_242_9,6,Indian,4-6,Indian_242
366,Asian_179_1,5,Asian,4-6,Asian_179
367,African_141_0,28,African,,African_141
368,Caucasian_603_98,12,Caucasian,10-12,Caucasian_603
369,Indian_528_141,5,Indian,4-6,Indian_528
370,Caucasian_1319_26,10,Caucasian,10-12,Caucasian_1319
371,Asian_505_77,1,Asian,0-3,Asian_505
372,Asian_259_11,0,Asian,0-3,Asian_259
373,African_114_1,2,African,0-3,African_114
374,Caucasian_1238_12,3,Caucasian,0-3,Caucasian_1238
375,Caucasian_1372_2,2,Caucasian,0-3,Caucasian_1372
376,Caucasian_1339_14,8,Caucasian,7-9,Caucasian_1339
377,Caucasian_1084_1,3,Caucasian,0-3,Caucasian_1084
378,Asian_236_4,12,Asian,10-12,Asian_236
379,Caucasian_542_4,4,Caucasian,4-6,Caucasian_542
380,Caucasian_194_10,11,Caucasian,10-12,Caucasian_194
381,Asian_481_6,6,Asian,4-6,Asian_481
382,Asian_585_81,6,Asian,4-6,Asian_585
383,Asian_681_4,0,Asian,0-3,Asian_681
384,Asian_167_14,13,Asian,13-15,Asian_167
385,Indian_596_22,25,Indian,,Indian_596
386,African_2_1,9,African,7-9,African_2
387,Caucasian_1146_81,2,Caucasian,0-3,Caucasian_1146
388,Indian_136_0,18,Indian,16-18,Indian_136
389,Indian_274_2,6,Indian,4-6,Indian_274
390,African_314_5,2,African,0-3,African_314
391,Asian_423_34,19,Asian,,Asian_423
392,Asian_494_94,0,Asian,0-3,Asian_494
393,Asian_376_81,31,Asian,,Asian_376
394,African_113_23,16,African,16-18,African_113
395,Asian_171_22,6,Asian,4-6,Asian_171
396,Caucasian_316_13,10,Caucasian,10-12,Caucasian_316
397,Caucasian_211_15,10,Caucasian,10-12,Caucasian_211
398,African_705_1,9,African,7-9,African_705
399,Caucasian_36_37,8,Caucasian,7-9,Caucasian_36
400,Indian_449_2,2,Indian,0-3,Indian_449
401,Asian_696_1,0,Asian,0-3,Asian_696
402,Caucasian_329_78,11,Caucasian,10-12,Caucasian_329
403,Asian_270_1,5,Asian,4-6,Asian_270
404,African_152_2,7,African,7-9,African_152
405,African_761_3,19,African,,African_761
406,African_36_5,13,African,13-15,African_36
407,African_784_6,4,African,4-6,African_784
408,Caucasian_424_271,1,Caucasian,0-3,Caucasian_424
409,Asian_566_51,1,Asian,0-3,Asian_566
410,African_651_2,5,African,4-6,African_651
411,Asian_232_25,0,Asian,0-3,Asian_232
412,Caucasian_293_1,4,Caucasian,4-6,Caucasian_293
413,African_438_3,8,African,7-9,African_438
414,Asian_395_5,3,Asian,0-3,Asian_395
415,Caucasian_580_0,3,Caucasian,0-3,Caucasian_580
416,Asian_575_9,3,Asian,0-3,Asian_575
417,Caucasian_377_2,4,Caucasian,4-6,Caucasian_377
418,Indian_244_1,26,Indian,,Indian_244
419,Asian_516_3,17,Asian,16-18,Asian_516
420,Indian_396_6,7,Indian,7-9,Indian_396
421,Indian_158_0,9,Indian,7-9,Indian_158
422,Asian_637_4,5,Asian,4-6,Asian_637
423,Indian_577_18,10,Indian,10-12,Indian_577
424,Asian_737_17,24,Asian,,Asian_737
425,Caucasian_525_36,0,Caucasian,0-3,Caucasian_525
426,Indian_632_6,2,Indian,0-3,Indian_632
427,African_448_1,7,African,7-9,African_448
428,Asian_268_3,7,Asian,7-9,Asian_268
429,Caucasian_1283_1,0,Caucasian,0-3,Caucasian_1283
430,Indian_98_12,4,Indian,4-6,Indian_98
431,Asian_483_20,21,Asian,,Asian_483
432,Caucasian_575_34,2,Caucasian,0-3,Caucasian_575
433,African_217_4,10,African,10-12,African_217
434,Caucasian_1153_4,3,Caucasian,0-3,Caucasian_1153
435,Caucasian_451_11,3,Caucasian,0-3,Caucasian_451
436,Caucasian_1274_5,2,Caucasian,0-3,Caucasian_1274
437,Indian_553_1,19,Indian,,Indian_553
438,Asian_10_9,28,Asian,,Asian_10
439,Caucasian_1311_20,3,Caucasian,0-3,Caucasian_1311
440,Indian_674_0,30,Indian,,Indian_674
441,African_73_2,20,African,,African_73
442,Caucasian_343_70,4,Caucasian,4-6,Caucasian_343
443,Caucasian_121_56,9,Caucasian,7-9,Caucasian_121
444,Indian_259_3,7,Indian,7-9,Indian_259
445,Indian_177_0,13,Indian,13-15,Indian_177
446,Caucasian_192_0,2,Caucasian,0-3,Caucasian_192
447,Asian_532_1,25,Asian,,Asian_532
448,Caucasian_21_84,2,Caucasian,0-3,Caucasian_21
449,Asian_590_17,4,Asian,4-6,Asian_590
450,Caucasian_155_5,2,Caucasian,0-3,Caucasian_155
451,Asian_434_30,2,Asian,0-3,Asian_434
452,Asian_439_11,4,Asian,4-6,Asian_439
453,Caucasian_1294_17,3,Caucasian,0-3,Caucasian_1294
454,Caucasian_534_1,7,Caucasian,7-9,Caucasian_534
455,African_313_14,22,African,,African_313
456,Asian_633_2,12,Asian,10-12,Asian_633
457,Asian_221_12,16,Asian,16-18,Asian_221
458,African_135_0,8,African,7-9,African_135
459,Asian_421_15,5,Asian,4-6,Asian_421
460,Caucasian_606_41,8,Caucasian,7-9,Caucasian_606
461,Indian_152_0,8,Indian,7-9,Indian_152
462,Asian_594_3,3,Asian,0-3,Asian_594
463,African_748_0,7,African,7-9,African_748
464,African_543_30,34,African,,African_543
465,Indian_626_0,18,Indian,16-18,Indian_626
466,Indian_239_7,0,Indian,0-3,Indian_239
467,Caucasian_450_11,8,Caucasian,7-9,Caucasian_450
468,Caucasian_162_5,4,Caucasian,4-6,Caucasian_162
469,Caucasian_1057_309,8,Caucasian,7-9,Caucasian_1057
470,African_77_7,26,African,,African_77
471,African_453_22,12,African,10-12,African_453
472,Caucasian_213_6,5,Caucasian,4-6,Caucasian_213
473,Asian_358_3,3,Asian,0-3,Asian_358
474,African_216_0,5,African,4-6,African_216
475,Asian_542_28,27,Asian,,Asian_542
476,African_617_8,4,African,4-6,African_617
477,African_409_31,5,African,4-6,African_409
478,Caucasian_382_9,3,Caucasian,0-3,Caucasian_382
479,Asian_419_25,2,Asian,0-3,Asian_419
480,African_399_3,7,African,7-9,African_399
481,African_695_3,10,African,10-12,African_695
482,Caucasian_473_12,4,Caucasian,4-6,Caucasian_473
483,Indian_434_45,3,Indian,0-3,Indian_434
484,Asian_485_16,6,Asian,4-6,Asian_485
485,Asian_11_88,2,Asian,0-3,Asian_11
486,Caucasian_1368_24,4,Caucasian,4-6,Caucasian_1368
487,African_74_2,19,African,,African_74
488,African_317_5,1,African,0-3,African_317
489,Indian_182_3,19,Indian,,Indian_182
490,African_518_92,36,African,,African_518
491,African_469_2,14,African,13-15,African_469
492,Caucasian_152_33,10,Caucasian,10-12,Caucasian_152
493,Indian_37_0,7,Indian,7-9,Indian_37
494,Asian_346_31,9,Asian,7-9,Asian_346
495,Caucasian_326_9,3,Caucasian,0-3,Caucasian_326
496,African_30_2,24,African,,African_30
497,African_119_9,9,African,7-9,African_119
498,African_565_0,14,African,13-15,African_565
499,Asian_381_51,0,Asian,0-3,Asian_381
500,African_453_2,7,African,7-9,African_453
501,Indian_167_1,8,Indian,7-9,Indian_167
502,African_400_23,14,African,13-15,African_400
503,Indian_558_1,20,Indian,,Indian_558
504,Caucasian_1390_10,4,Caucasian,4-6,Caucasian_1390
505,Caucasian_279_20,3,Caucasian,0-3,Caucasian_279
506,Asian_322_4,24,Asian,,Asian_322
507,African_251_0,8,African,7-9,African_251
508,Caucasian_1171_5,4,Caucasian,4-6,Caucasian_1171
509,Caucasian_341_20,5,Caucasian,4-6,Caucasian_341
510,Caucasian_33_89,7,Caucasian,7-9,Caucasian_33
511,Caucasian_1321_41,7,Caucasian,7-9,Caucasian_1321
512,Indian_690_2,8,Indian,7-9,Indian_690
513,Caucasian_363_17,6,Caucasian,4-6,Caucasian_363
514,African_145_25,14,African,13-15,African_145
515,Asian_102_0,5,Asian,4-6,Asian_102
516,Caucasian_375_5,6,Caucasian,4-6,Caucasian_375
517,Asian_350_18,7,Asian,7-9,Asian_350
518,Asian_626_1,0,Asian,0-3,Asian_626
519,Indian_694_3,4,Indian,4-6,Indian_694
520,Indian_628_0,7,Indian,7-9,Indian_628
521,African_285_9,6,African,4-6,African_285
522,African_293_8,32,African,,African_293
523,Caucasian_1016_1,12,Caucasian,10-12,Caucasian_1016
524,Caucasian_534_0,9,Caucasian,7-9,Caucasian_534
525,Asian_130_9,13,Asian,13-15,Asian_130
526,Caucasian_509_3,8,Caucasian,7-9,Caucasian_509
527,Asian_610_77,4,Asian,4-6,Asian_610
528,Indian_135_4,8,Indian,7-9,Indian_135
529,Asian_44_0,3,Asian,0-3,Asian_44
