,files_list,image_name,enrolled,identity_name,ethnicity,Age,Identity,UnifiedQualityScore.scalar,HeadPoseYaw.scalar,HeadPosePitch.scalar,HeadPoseRoll.scalar,children_agegroup
99,African_147/African_147_6.png,African_147_6,enrolled,African_147,African,6,African_147,35.0,100.0,99.0,100.0,4-6
101,African_148/African_148_0.png,African_148_0,enrolled,African_148,African,14,African_148,72.0,100.0,100.0,100.0,13-15
102,African_148/African_148_7.png,African_148_7,enrolled,African_148,African,7,African_148,69.0,98.0,100.0,100.0,7-9
103,African_148/African_148_8.png,African_148_8,enrolled,African_148,African,7,African_148,50.0,99.0,94.0,100.0,7-9
105,African_149/African_149_32.png,African_149_32,enrolled,African_149,African,2,African_149,35.0,92.0,98.0,100.0,1-3
106,African_15/African_15_10.png,African_15_10,enrolled,African_15,African,8,African_15,45.0,98.0,96.0,100.0,7-9
107,African_15/African_15_124.png,African_15_124,enrolled,African_15,African,8,African_15,31.0,100.0,99.0,100.0,7-9
108,African_15/African_15_125.png,African_15_125,enrolled,African_15,African,9,African_15,32.0,100.0,100.0,100.0,7-9
110,African_15/African_15_25.png,African_15_25,enrolled,African_15,African,8,African_15,39.0,99.0,100.0,100.0,7-9
111,African_15/African_15_44.png,African_15_44,enrolled,African_15,African,8,African_15,45.0,100.0,99.0,100.0,7-9
113,African_150/African_150_11.png,African_150_11,enrolled,African_150,African,2,African_150,31.0,100.0,100.0,100.0,1-3
114,African_150/African_150_14.png,African_150_14,enrolled,African_150,African,5,African_150,33.0,92.0,100.0,100.0,4-6
115,African_150/African_150_15.png,African_150_15,enrolled,African_150,African,3,African_150,31.0,99.0,99.0,100.0,1-3
116,African_150/African_150_16.png,African_150_16,enrolled,African_150,African,2,African_150,45.0,95.0,97.0,100.0,1-3
117,African_150/African_150_23.png,African_150_23,enrolled,African_150,African,2,African_150,38.0,100.0,100.0,100.0,1-3
118,African_150/African_150_26.png,African_150_26,enrolled,African_150,African,3,African_150,50.0,90.0,100.0,100.0,1-3
119,African_150/African_150_30.png,African_150_30,enrolled,African_150,African,4,African_150,42.0,92.0,99.0,100.0,4-6
120,African_151/African_151_6.png,African_151_6,enrolled,African_151,African,10,African_151,35.0,100.0,100.0,100.0,10-12
121,African_152/African_152_0.png,African_152_0,enrolled,African_152,African,10,African_152,36.0,82.0,88.0,100.0,10-12
122,African_152/African_152_1.png,African_152_1,enrolled,African_152,African,6,African_152,46.0,94.0,99.0,100.0,4-6
123,African_152/African_152_2.png,African_152_2,enrolled,African_152,African,7,African_152,47.0,84.0,98.0,99.0,7-9
127,African_153/African_153_4.png,African_153_4,enrolled,African_153,African,9,African_153,48.0,99.0,98.0,100.0,7-9
129,African_153/African_153_8.png,African_153_8,enrolled,African_153,African,5,African_153,61.0,98.0,98.0,100.0,4-6
130,African_156/African_156_6.png,African_156_6,enrolled,African_156,African,10,African_156,41.0,86.0,99.0,100.0,10-12
131,African_157/African_157_12.png,African_157_12,enrolled,African_157,African,4,African_157,44.0,94.0,99.0,100.0,4-6
133,African_157/African_157_14.png,African_157_14,enrolled,African_157,African,4,African_157,32.0,100.0,94.0,100.0,4-6
134,African_157/African_157_20.png,African_157_20,enrolled,African_157,African,4,African_157,34.0,99.0,100.0,100.0,4-6
136,African_158/African_158_12.png,African_158_12,enrolled,African_158,African,8,African_158,41.0,93.0,99.0,100.0,7-9
144,African_160/African_160_12.png,African_160_12,enrolled,African_160,African,8,African_160,61.0,100.0,93.0,100.0,7-9
145,African_160/African_160_2.png,African_160_2,enrolled,African_160,African,10,African_160,42.0,99.0,99.0,100.0,10-12
147,African_160/African_160_6.png,African_160_6,enrolled,African_160,African,9,African_160,77.0,99.0,99.0,100.0,7-9
148,African_160/African_160_7.png,African_160_7,enrolled,African_160,African,8,African_160,61.0,99.0,99.0,100.0,7-9
150,African_161/African_161_10.png,African_161_10,enrolled,African_161,African,9,African_161,36.0,99.0,100.0,100.0,7-9
154,African_163/African_163_10.png,African_163_10,enrolled,African_163,African,8,African_163,44.0,95.0,98.0,100.0,7-9
156,African_163/African_163_19.png,African_163_19,enrolled,African_163,African,9,African_163,58.0,100.0,99.0,100.0,7-9
157,African_163/African_163_22.png,African_163_22,enrolled,African_163,African,12,African_163,31.0,94.0,93.0,100.0,10-12
159,African_163/African_163_25.png,African_163_25,enrolled,African_163,African,9,African_163,37.0,100.0,97.0,100.0,7-9
162,African_164/African_164_35.png,African_164_35,enrolled,African_164,African,7,African_164,50.0,98.0,99.0,100.0,7-9
164,African_165/African_165_1.png,African_165_1,enrolled,African_165,African,5,African_165,35.0,99.0,93.0,100.0,4-6
165,African_166/African_166_0.png,African_166_0,enrolled,African_166,African,2,African_166,29.0,99.0,98.0,100.0,1-3
170,African_167/African_167_0.png,African_167_0,enrolled,African_167,African,2,African_167,34.0,100.0,92.0,100.0,1-3
171,African_167/African_167_4.png,African_167_4,enrolled,African_167,African,3,African_167,31.0,97.0,100.0,100.0,1-3
172,African_168/African_168_0.png,African_168_0,enrolled,African_168,African,2,African_168,36.0,99.0,97.0,100.0,1-3
174,African_168/African_168_2.png,African_168_2,enrolled,African_168,African,1,African_168,31.0,100.0,97.0,100.0,1-3
175,African_168/African_168_5.png,African_168_5,enrolled,African_168,African,1,African_168,36.0,100.0,95.0,100.0,1-3
178,African_169/African_169_10.png,African_169_10,enrolled,African_169,African,4,African_169,54.0,100.0,95.0,100.0,4-6
179,African_169/African_169_4.png,African_169_4,enrolled,African_169,African,7,African_169,55.0,97.0,92.0,100.0,7-9
181,African_169/African_169_7.png,African_169_7,enrolled,African_169,African,10,African_169,49.0,92.0,94.0,100.0,10-12
184,African_172/African_172_34.png,African_172_34,enrolled,African_172,African,10,African_172,78.0,85.0,98.0,100.0,10-12
186,African_173/African_173_1.png,African_173_1,enrolled,African_173,African,9,African_173,36.0,73.0,82.0,98.0,7-9
187,African_173/African_173_2.png,African_173_2,enrolled,African_173,African,10,African_173,35.0,72.0,94.0,99.0,10-12
188,African_174/African_174_11.png,African_174_11,enrolled,African_174,African,7,African_174,67.0,96.0,100.0,100.0,7-9
189,African_174/African_174_5.png,African_174_5,enrolled,African_174,African,9,African_174,44.0,100.0,100.0,100.0,7-9
190,African_174/African_174_8.png,African_174_8,enrolled,African_174,African,8,African_174,61.0,100.0,95.0,100.0,7-9
191,African_175/African_175_15.png,African_175_15,enrolled,African_175,African,6,African_175,32.0,100.0,97.0,100.0,4-6
193,African_175/African_175_41.png,African_175_41,enrolled,African_175,African,8,African_175,38.0,100.0,100.0,100.0,7-9
195,African_176/African_176_4.png,African_176_4,enrolled,African_176,African,11,African_176,53.0,99.0,99.0,100.0,10-12
196,African_176/African_176_9.png,African_176_9,enrolled,African_176,African,11,African_176,64.0,100.0,100.0,98.0,10-12
197,African_178/African_178_18.png,African_178_18,enrolled,African_178,African,10,African_178,52.0,100.0,95.0,100.0,10-12
198,African_178/African_178_39.png,African_178_39,enrolled,African_178,African,13,African_178,71.0,100.0,93.0,100.0,13-15
199,African_178/African_178_44.png,African_178_44,enrolled,African_178,African,15,African_178,63.0,100.0,85.0,100.0,13-15
200,African_178/African_178_64.png,African_178_64,enrolled,African_178,African,10,African_178,55.0,99.0,99.0,100.0,10-12
202,African_178/African_178_77.png,African_178_77,enrolled,African_178,African,13,African_178,33.0,100.0,72.0,99.0,13-15
203,African_178/African_178_84.png,African_178_84,enrolled,African_178,African,12,African_178,34.0,98.0,99.0,100.0,10-12
205,African_18/African_18_1.png,African_18_1,enrolled,African_18,African,5,African_18,30.0,99.0,97.0,100.0,4-6
208,African_180/African_180_18.png,African_180_18,enrolled,African_180,African,11,African_180,35.0,99.0,85.0,100.0,10-12
209,African_180/African_180_33.png,African_180_33,enrolled,African_180,African,11,African_180,44.0,100.0,90.0,100.0,10-12
213,African_181/African_181_3.png,African_181_3,enrolled,African_181,African,2,African_181,29.0,100.0,99.0,100.0,1-3
214,African_182/African_182_4.png,African_182_4,enrolled,African_182,African,15,African_182,62.0,100.0,100.0,100.0,13-15
215,African_184/African_184_1.png,African_184_1,enrolled,African_184,African,11,African_184,53.0,98.0,98.0,100.0,10-12
219,African_184/African_184_8.png,African_184_8,enrolled,African_184,African,10,African_184,36.0,97.0,91.0,100.0,10-12
220,African_185/African_185_0.png,African_185_0,enrolled,African_185,African,7,African_185,49.0,99.0,97.0,100.0,7-9
223,African_189/African_189_0.png,African_189_0,enrolled,African_189,African,8,African_189,36.0,96.0,100.0,99.0,7-9
224,African_189/African_189_2.png,African_189_2,enrolled,African_189,African,8,African_189,48.0,100.0,99.0,100.0,7-9
225,African_19/African_19_3.png,African_19_3,enrolled,African_19,African,11,African_19,39.0,89.0,94.0,100.0,10-12
226,African_19/African_19_6.png,African_19_6,enrolled,African_19,African,6,African_19,61.0,98.0,98.0,100.0,4-6
227,African_19/African_19_9.png,African_19_9,enrolled,African_19,African,7,African_19,66.0,96.0,100.0,100.0,7-9
228,African_191/African_191_12.png,African_191_12,enrolled,African_191,African,8,African_191,64.0,99.0,99.0,100.0,7-9
229,African_191/African_191_14.png,African_191_14,enrolled,African_191,African,7,African_191,53.0,99.0,100.0,100.0,7-9
231,African_191/African_191_19.png,African_191_19,enrolled,African_191,African,8,African_191,49.0,93.0,100.0,100.0,7-9
232,African_191/African_191_20.png,African_191_20,enrolled,African_191,African,7,African_191,69.0,99.0,100.0,100.0,7-9
234,African_191/African_191_24.png,African_191_24,enrolled,African_191,African,8,African_191,69.0,100.0,99.0,100.0,7-9
235,African_191/African_191_6.png,African_191_6,enrolled,African_191,African,8,African_191,46.0,100.0,100.0,100.0,7-9
236,African_191/African_191_7.png,African_191_7,enrolled,African_191,African,10,African_191,62.0,96.0,100.0,100.0,10-12
237,African_191/African_191_8.png,African_191_8,enrolled,African_191,African,8,African_191,66.0,99.0,100.0,100.0,7-9
240,African_192/African_192_2.png,African_192_2,enrolled,African_192,African,15,African_192,42.0,93.0,96.0,100.0,13-15
241,African_192/African_192_5.png,African_192_5,enrolled,African_192,African,8,African_192,34.0,100.0,98.0,100.0,7-9
242,African_192/African_192_7.png,African_192_7,enrolled,African_192,African,14,African_192,40.0,94.0,97.0,100.0,13-15
243,African_193/African_193_15.png,African_193_15,enrolled,African_193,African,7,African_193,51.0,100.0,99.0,100.0,7-9
247,African_194/African_194_6.png,African_194_6,enrolled,African_194,African,15,African_194,65.0,82.0,97.0,100.0,13-15
250,African_197/African_197_0.png,African_197_0,enrolled,African_197,African,10,African_197,88.0,97.0,100.0,100.0,10-12
251,African_197/African_197_2.png,African_197_2,enrolled,African_197,African,12,African_197,71.0,99.0,100.0,100.0,10-12
252,African_199/African_199_1.png,African_199_1,enrolled,African_199,African,8,African_199,36.0,100.0,93.0,100.0,7-9
254,African_199/African_199_3.png,African_199_3,enrolled,African_199,African,9,African_199,39.0,100.0,100.0,100.0,7-9
256,African_199/African_199_8.png,African_199_8,enrolled,African_199,African,11,African_199,37.0,100.0,99.0,100.0,10-12
263,African_201/African_201_1.png,African_201_1,enrolled,African_201,African,6,African_201,33.0,88.0,100.0,100.0,4-6
264,African_202/African_202_0.png,African_202_0,enrolled,African_202,African,10,African_202,34.0,92.0,88.0,99.0,10-12
265,African_204/African_204_10.png,African_204_10,enrolled,African_204,African,8,African_204,61.0,100.0,97.0,100.0,7-9
266,African_204/African_204_16.png,African_204_16,enrolled,African_204,African,8,African_204,77.0,99.0,100.0,100.0,7-9
268,African_204/African_204_3.png,African_204_3,enrolled,African_204,African,9,African_204,78.0,98.0,100.0,100.0,7-9
272,African_206/African_206_14.png,African_206_14,enrolled,African_206,African,9,African_206,43.0,100.0,90.0,100.0,7-9
273,African_206/African_206_27.png,African_206_27,enrolled,African_206,African,8,African_206,54.0,100.0,84.0,100.0,7-9
274,African_206/African_206_3.png,African_206_3,enrolled,African_206,African,7,African_206,53.0,100.0,100.0,100.0,7-9
275,African_206/African_206_60.png,African_206_60,enrolled,African_206,African,9,African_206,55.0,100.0,99.0,100.0,7-9
276,African_207/African_207_0.png,African_207_0,enrolled,African_207,African,9,African_207,40.0,96.0,100.0,100.0,7-9
277,African_207/African_207_2.png,African_207_2,enrolled,African_207,African,6,African_207,50.0,90.0,98.0,100.0,4-6
278,African_207/African_207_3.png,African_207_3,enrolled,African_207,African,11,African_207,43.0,92.0,99.0,100.0,10-12
279,African_208/African_208_0.png,African_208_0,enrolled,African_208,African,14,African_208,82.0,95.0,99.0,100.0,13-15
280,African_208/African_208_5.png,African_208_5,enrolled,African_208,African,11,African_208,37.0,100.0,99.0,100.0,10-12
281,African_208/African_208_6.png,African_208_6,enrolled,African_208,African,9,African_208,37.0,99.0,99.0,100.0,7-9
282,African_209/African_209_10.png,African_209_10,enrolled,African_209,African,1,African_209,61.0,99.0,100.0,100.0,1-3
284,African_209/African_209_12.png,African_209_12,enrolled,African_209,African,4,African_209,37.0,85.0,96.0,99.0,4-6
286,African_209/African_209_20.png,African_209_20,enrolled,African_209,African,1,African_209,31.0,94.0,100.0,100.0,1-3
288,African_209/African_209_27.png,African_209_27,enrolled,African_209,African,4,African_209,30.0,94.0,98.0,100.0,4-6
289,African_209/African_209_33.png,African_209_33,enrolled,African_209,African,4,African_209,34.0,96.0,90.0,99.0,4-6
290,African_209/African_209_34.png,African_209_34,enrolled,African_209,African,6,African_209,52.0,92.0,99.0,100.0,4-6
291,African_21/African_21_10.png,African_21_10,enrolled,African_21,African,6,African_21,74.0,98.0,98.0,100.0,4-6
292,African_21/African_21_6.png,African_21_6,enrolled,African_21,African,8,African_21,39.0,98.0,84.0,100.0,7-9
295,African_211/African_211_12.png,African_211_12,enrolled,African_211,African,6,African_211,63.0,100.0,98.0,100.0,4-6
296,African_211/African_211_2.png,African_211_2,enrolled,African_211,African,8,African_211,62.0,100.0,100.0,100.0,7-9
297,African_211/African_211_22.png,African_211_22,enrolled,African_211,African,6,African_211,76.0,100.0,100.0,100.0,4-6
298,African_211/African_211_26.png,African_211_26,enrolled,African_211,African,6,African_211,68.0,100.0,96.0,100.0,4-6
299,African_211/African_211_41.png,African_211_41,enrolled,African_211,African,5,African_211,65.0,100.0,100.0,100.0,4-6
300,African_211/African_211_48.png,African_211_48,enrolled,African_211,African,8,African_211,49.0,82.0,95.0,99.0,7-9
303,African_213/African_213_0.png,African_213_0,enrolled,African_213,African,11,African_213,60.0,98.0,97.0,100.0,10-12
304,African_213/African_213_1.png,African_213_1,enrolled,African_213,African,11,African_213,38.0,96.0,98.0,100.0,10-12
305,African_213/African_213_10.png,African_213_10,enrolled,African_213,African,9,African_213,48.0,85.0,98.0,100.0,7-9
306,African_213/African_213_11.png,African_213_11,enrolled,African_213,African,10,African_213,39.0,86.0,91.0,100.0,10-12
307,African_213/African_213_2.png,African_213_2,enrolled,African_213,African,10,African_213,67.0,89.0,98.0,100.0,10-12
308,African_213/African_213_6.png,African_213_6,enrolled,African_213,African,11,African_213,39.0,76.0,99.0,100.0,10-12
309,African_213/African_213_7.png,African_213_7,enrolled,African_213,African,9,African_213,63.0,97.0,100.0,100.0,7-9
314,African_215/African_215_1.png,African_215_1,enrolled,African_215,African,7,African_215,38.0,100.0,95.0,100.0,7-9
315,African_216/African_216_0.png,African_216_0,enrolled,African_216,African,5,African_216,46.0,100.0,95.0,100.0,4-6
316,African_216/African_216_1.png,African_216_1,enrolled,African_216,African,7,African_216,63.0,100.0,96.0,100.0,7-9
317,African_216/African_216_2.png,African_216_2,enrolled,African_216,African,6,African_216,30.0,100.0,90.0,100.0,4-6
318,African_217/African_217_0.png,African_217_0,enrolled,African_217,African,9,African_217,45.0,98.0,100.0,100.0,7-9
319,African_217/African_217_2.png,African_217_2,enrolled,African_217,African,14,African_217,36.0,98.0,97.0,100.0,13-15
320,African_217/African_217_3.png,African_217_3,enrolled,African_217,African,9,African_217,55.0,99.0,92.0,100.0,7-9
321,African_217/African_217_4.png,African_217_4,enrolled,African_217,African,10,African_217,85.0,97.0,100.0,100.0,10-12
322,African_217/African_217_5.png,African_217_5,enrolled,African_217,African,8,African_217,63.0,95.0,99.0,100.0,7-9
323,African_218/African_218_0.png,African_218_0,enrolled,African_218,African,11,African_218,36.0,100.0,75.0,100.0,10-12
324,African_218/African_218_1.png,African_218_1,enrolled,African_218,African,13,African_218,45.0,99.0,92.0,100.0,13-15
325,African_218/African_218_2.png,African_218_2,enrolled,African_218,African,14,African_218,33.0,100.0,80.0,100.0,13-15
327,African_219/African_219_1.png,African_219_1,enrolled,African_219,African,2,African_219,33.0,94.0,99.0,100.0,1-3
328,African_22/African_22_0.png,African_22_0,enrolled,African_22,African,3,African_22,65.0,100.0,99.0,100.0,1-3
329,African_22/African_22_4.png,African_22_4,enrolled,African_22,African,3,African_22,42.0,90.0,99.0,100.0,1-3
330,African_22/African_22_6.png,African_22_6,enrolled,African_22,African,2,African_22,47.0,87.0,98.0,98.0,1-3
332,African_220/African_220_0.png,African_220_0,enrolled,African_220,African,9,African_220,44.0,100.0,100.0,100.0,7-9
334,African_220/African_220_2.png,African_220_2,enrolled,African_220,African,10,African_220,35.0,95.0,96.0,100.0,10-12
335,African_220/African_220_4.png,African_220_4,enrolled,African_220,African,14,African_220,45.0,99.0,100.0,100.0,13-15
336,African_220/African_220_8.png,African_220_8,enrolled,African_220,African,11,African_220,53.0,100.0,89.0,100.0,10-12
337,African_221/African_221_0.png,African_221_0,enrolled,African_221,African,6,African_221,59.0,100.0,95.0,100.0,4-6
338,African_221/African_221_1.png,African_221_1,enrolled,African_221,African,9,African_221,54.0,98.0,96.0,100.0,7-9
345,African_229/African_229_17.png,African_229_17,enrolled,African_229,African,10,African_229,59.0,99.0,100.0,100.0,10-12
346,African_229/African_229_18.png,African_229_18,enrolled,African_229,African,10,African_229,33.0,100.0,71.0,100.0,10-12
348,African_229/African_229_7.png,African_229_7,enrolled,African_229,African,11,African_229,44.0,100.0,100.0,100.0,10-12
349,African_229/African_229_8.png,African_229_8,enrolled,African_229,African,9,African_229,80.0,100.0,99.0,100.0,7-9
350,African_236/African_236_0.png,African_236_0,enrolled,African_236,African,3,African_236,29.0,100.0,97.0,100.0,1-3
351,African_236/African_236_1.png,African_236_1,enrolled,African_236,African,8,African_236,49.0,94.0,100.0,100.0,7-9
352,African_236/African_236_4.png,African_236_4,enrolled,African_236,African,8,African_236,32.0,95.0,100.0,100.0,7-9
353,African_240/African_240_3.png,African_240_3,enrolled,African_240,African,15,African_240,57.0,100.0,98.0,100.0,13-15
354,African_241/African_241_100.png,African_241_100,enrolled,African_241,African,13,African_241,43.0,96.0,93.0,100.0,13-15
355,African_241/African_241_24.png,African_241_24,enrolled,African_241,African,14,African_241,43.0,100.0,100.0,100.0,13-15
357,African_241/African_241_55.png,African_241_55,enrolled,African_241,African,14,African_241,39.0,100.0,99.0,100.0,13-15
359,African_250/African_250_3.png,African_250_3,enrolled,African_250,African,6,African_250,30.0,98.0,96.0,100.0,4-6
360,African_250/African_250_4.png,African_250_4,enrolled,African_250,African,6,African_250,51.0,97.0,98.0,100.0,4-6
368,African_259/African_259_0.png,African_259_0,enrolled,African_259,African,7,African_259,30.0,99.0,98.0,100.0,7-9
371,African_259/African_259_2.png,African_259_2,enrolled,African_259,African,7,African_259,54.0,93.0,100.0,100.0,7-9
376,African_260/African_260_2.png,African_260_2,enrolled,African_260,African,7,African_260,30.0,88.0,93.0,99.0,7-9
379,African_260/African_260_8.png,African_260_8,enrolled,African_260,African,8,African_260,46.0,100.0,97.0,100.0,7-9
391,African_265/African_265_12.png,African_265_12,enrolled,African_265,African,2,African_265,32.0,96.0,99.0,100.0,1-3
392,African_265/African_265_15.png,African_265_15,enrolled,African_265,African,8,African_265,30.0,100.0,91.0,100.0,7-9
397,African_266/African_266_24.png,African_266_24,enrolled,African_266,African,9,African_266,72.0,97.0,98.0,100.0,7-9
398,African_266/African_266_27.png,African_266_27,enrolled,African_266,African,8,African_266,62.0,98.0,99.0,100.0,7-9
399,African_266/African_266_28.png,African_266_28,enrolled,African_266,African,8,African_266,33.0,92.0,100.0,100.0,7-9
400,African_266/African_266_35.png,African_266_35,enrolled,African_266,African,10,African_266,31.0,100.0,90.0,100.0,10-12
401,African_266/African_266_45.png,African_266_45,enrolled,African_266,African,8,African_266,78.0,100.0,100.0,100.0,7-9
402,African_267/African_267_0.png,African_267_0,enrolled,African_267,African,2,African_267,42.0,98.0,99.0,100.0,1-3
404,African_267/African_267_25.png,African_267_25,enrolled,African_267,African,1,African_267,44.0,100.0,99.0,100.0,1-3
406,African_267/African_267_8.png,African_267_8,enrolled,African_267,African,2,African_267,51.0,98.0,100.0,100.0,1-3
408,African_268/African_268_2.png,African_268_2,enrolled,African_268,African,5,African_268,29.0,46.0,100.0,99.0,4-6
413,African_270/African_270_0.png,African_270_0,enrolled,African_270,African,1,African_270,30.0,98.0,99.0,100.0,1-3
417,African_271/African_271_1.png,African_271_1,enrolled,African_271,African,6,African_271,31.0,100.0,100.0,98.0,4-6
419,African_271/African_271_15.png,African_271_15,enrolled,African_271,African,7,African_271,43.0,100.0,100.0,100.0,7-9
420,African_271/African_271_21.png,African_271_21,enrolled,African_271,African,7,African_271,29.0,99.0,100.0,99.0,7-9
423,African_274/African_274_4.png,African_274_4,enrolled,African_274,African,9,African_274,45.0,95.0,94.0,100.0,7-9
