,Probe Image,Reference Image,Similarity Score,Probe Image Identity,Reference Image Identity,Filename,UnifiedQualityScore,BackgroundUniformity,IlluminationUniformity,LuminanceMean,LuminanceVariance,UnderExposurePrevention,OverExposurePrevention,DynamicRange,Sharpness,CompressionArtifacts,NaturalColour,SingleFacePresent,EyesOpen,MouthClosed,EyesVisible,MouthOcclusionPrevention,FaceOcclusionPrevention,InterEyeDistance,HeadSize,LeftwardCropOfTheFaceImage,RightwardCropOfTheFaceImage,DownwardCropOfTheFaceImage,UpwardCropOfTheFaceImage,HeadPoseYaw,HeadPosePitch,HeadPoseRoll,ExpressionNeutrality,NoHeadCoverings,UnifiedQualityScore.scalar,BackgroundUniformity.scalar,IlluminationUniformity.scalar,LuminanceMean.scalar,LuminanceVariance.scalar,UnderExposurePrevention.scalar,OverExposurePrevention.scalar,DynamicRange.scalar,Sharpness.scalar,CompressionArtifacts.scalar,NaturalColour.scalar,SingleFacePresent.scalar,EyesOpen.scalar,MouthClosed.scalar,EyesVisible.scalar,MouthOcclusionPrevention.scalar,FaceOcclusionPrevention.scalar,InterEyeDistance.scalar,HeadSize.scalar,LeftwardCropOfTheFaceImage.scalar,RightwardCropOfTheFaceImage.scalar,DownwardCropOfTheFaceImage.scalar,UpwardCropOfTheFaceImage.scalar,HeadPoseYaw.scalar,HeadPosePitch.scalar,HeadPoseRoll.scalar,ExpressionNeutrality.scalar,NoHeadCoverings.scalar,Unnamed: 57,image_name,identity_name
40,m.03m_g6_0002,m.03m_g6_0003,0.93762803,m.03m_g6,m.03m_g6,../../../data/tests/images/adults_full_final/m.03m_g6_0002.jpg,16.049555,161.118756,0.423673,0.058493,0.02451,0.863196,0.0,3.196743,-29,0.835793,100.0,0.0,0.048301,0.140422,0.0,0.0,0.049625,83.181772,0.360054,2.890727,2.926861,1.298415,1.478944,-3.528407,-8.309219,-3.666906,-8711.967773,0.448839,6,34,77,6,96,71.0,100.0,40,27,100,0,100,94,73,100,100,95,66,28,100,100,27,4,100,98,100,32,0,,m.03m_g6_0002,m.03m_g6
46,m.09v1dsk_0003,m.09v1dsk_0005,0.9376067,m.09v1dsk,m.09v1dsk,../../../data/tests/images/adults_full_final/m.09v1dsk_0003.jpg,21.574253,28.68726,0.693213,0.091798,0.001993,0.699342,0.0,5.124158,-18,0.841028,0.921993,0.0,0.090215,0.08992,0.0,0.0,0.003623,93.177342,0.362502,2.623656,2.677419,1.255165,1.503439,-3.535552,-2.757457,-0.942797,-2680.591309,0.0,37,86,90,10,33,98.0,100.0,64,47,100,95,100,100,86,100,100,100,76,30,100,100,19,5,100,100,100,61,100,,m.09v1dsk_0003,m.09v1dsk
44,m.09v1dsk_0005,m.09v1dsk_0003,0.9376067,m.09v1dsk,m.09v1dsk,../../../data/tests/images/adults_full_final/m.09v1dsk_0005.jpg,23.926386,17.669311,0.623269,0.092713,0.002284,0.689178,0.0,5.197636,-19,0.930051,1.240962,0.0,0.083012,0.082758,0.0,0.0,0.00199,91.262579,0.362502,2.692308,2.703297,1.255165,1.503439,-4.347362,-1.297272,-0.718827,-6161.451172,0.0,59,91,87,10,37,99.0,100.0,65,45,100,94,100,100,88,100,100,100,74,30,100,100,19,5,99,100,100,44,100,,m.09v1dsk_0005,m.09v1dsk
50,m.0fgtps_0001,m.0fgtps_0003,0.9371512,m.0fgtps,m.0fgtps,../../../data/tests/images/adults_full_final/m.0fgtps_0001.jpg,25.983093,40.049756,0.701389,0.266912,0.016149,0.085929,0.0,6.978684,-20,0.917023,0.0,0.0,0.083888,0.006872,0.0,0.0,0.001103,88.623734,0.363784,2.73846,2.806637,1.250741,1.49814,6.770613,-4.261333,-1.102714,11151.539062,0.0,76,81,90,79,100,100.0,100.0,87,44,100,100,100,100,96,100,100,100,72,30,100,100,18,5,99,99,100,96,100,,m.0fgtps_0001,m.0fgtps
58,m.04_mvx_0003,m.04_mvx_0002,0.9351243,m.04_mvx,m.04_mvx,../../../data/tests/images/adults_full_final/m.04_mvx_0003.jpg,25.59358,103.559403,0.697266,0.242514,0.014072,0.114794,0.0,6.897074,-33,0.962048,0.0,0.0,0.070084,0.009007,0.0,0.0,0.006656,82.239593,0.392518,3.037975,3.025316,1.171921,1.375733,-16.135352,-5.150315,1.202534,-14512.682617,0.182666,73,54,90,70,99,100.0,100.0,86,20,100,100,100,99,96,100,100,99,65,48,100,100,9,1,92,99,100,13,0,,m.04_mvx_0003,m.04_mvx
64,m.02w_8zj_0001,m.02w_8zj_0002,0.9335981,m.02w_8zj,m.02w_8zj,../../../data/tests/images/adults_full_final/m.02w_8zj_0001.jpg,22.188848,42.836515,0.451172,0.341202,0.045789,0.18475,0.0,7.536682,-32,0.921287,0.0,0.0,0.075729,0.095009,0.026969,0.0,0.069785,88.087353,0.402517,2.86747,2.951807,1.136597,1.347768,19.567685,-9.565708,-1.554823,-13429.510742,0.0,42,80,79,94,74,100.0,100.0,94,22,100,100,100,100,85,97,100,93,71,56,100,100,7,1,89,97,100,16,100,,m.02w_8zj_0001,m.02w_8zj
66,m.02w_8zj_0002,m.02w_8zj_0001,0.9335981,m.02w_8zj,m.02w_8zj,../../../data/tests/images/adults_full_final/m.02w_8zj_0002.jpg,23.161722,12.371102,0.460938,0.239411,0.039974,0.307917,0.0,7.285921,22,0.917913,0.0,0.0,0.06118,0.081726,0.197462,0.0,0.113128,85.919377,0.398846,2.948596,2.985607,1.140791,1.366442,19.371003,-11.189561,-1.86046,-14544.129883,0.0,52,94,79,69,80,100.0,100.0,91,94,100,100,100,98,88,80,100,89,69,53,100,100,7,1,89,96,100,13,100,,m.02w_8zj_0002,m.02w_8zj
70,m.09v5jqn_0003,m.09v5jqn_0005,0.9331099,m.09v5jqn,m.09v5jqn,../../../data/tests/images/adults_full_final/m.09v5jqn_0003.jpg,22.347563,52.9155,0.512111,0.162453,0.002915,0.112069,0.0,5.80571,-16,0.964728,0.0,0.508272,0.097396,0.0,0.188883,0.0,0.087594,87.127213,0.377905,2.880952,2.880952,1.19739,1.448775,-15.397388,-2.166983,0.153679,440.560638,0.000395,44,75,82,32,45,100.0,100.0,73,51,100,100,49,100,97,81,100,91,70,38,100,100,12,3,93,100,100,75,100,,m.09v5jqn_0003,m.09v5jqn
76,m.0h7l5d2_0003,m.0h7l5d2_0002,0.9321928,m.0h7l5d2,m.0h7l5d2,../../../data/tests/images/adults_full_final/m.0h7l5d2_0003.jpg,20.213608,53.493791,0.592798,0.12347,0.006979,0.434272,0.0,6.222656,-13,0.798112,0.0,0.0,0.09436,0.113148,0.0,0.0,0.01695,97.16608,0.35627,2.58933,2.620907,1.291157,1.515706,-12.105908,-4.234875,1.675694,-14431.288086,0.0,26,75,85,18,80,100.0,100.0,78,57,100,100,100,100,81,100,100,98,80,27,100,100,25,6,96,99,100,13,100,,m.0h7l5d2_0003,m.0h7l5d2
78,m.0h7l5d2_0002,m.0h7l5d2_0003,0.9321928,m.0h7l5d2,m.0h7l5d2,../../../data/tests/images/adults_full_final/m.0h7l5d2_0002.jpg,20.300758,44.874742,0.533236,0.173487,0.010923,0.287064,0.0,6.599948,-20,0.816209,0.0,0.0,0.08333,0.139526,0.0,0.0,0.013033,95.852729,0.358804,2.645008,2.65576,1.289003,1.498031,-14.00029,-1.297738,2.07667,-15257.556641,0.0,26,79,83,37,95,100.0,100.0,82,44,100,100,100,100,73,100,100,99,78,28,100,100,25,5,94,100,100,11,100,,m.0h7l5d2_0002,m.0h7l5d2
80,m.0q6rcgp_0006,m.0q6rcgp_0005,0.9301959,m.0q6rcgp,m.0q6rcgp,../../../data/tests/images/adults_full_final/m.0q6rcgp_0006.jpg,18.132561,84.790691,0.371107,0.552831,0.054654,0.012001,0.0,6.875855,-35,0.94256,0.0,0.0,0.094226,0.006643,0.061614,0.0,0.144972,84.827055,0.376352,2.975082,2.962737,1.222261,1.434828,-17.262198,-5.91478,0.909319,3016.085693,0.0,13,61,74,99,67,100.0,100.0,86,17,100,100,100,100,96,94,100,86,68,37,100,100,14,3,91,99,100,83,100,,m.0q6rcgp_0006,m.0q6rcgp
82,m.0q6rcgp_0005,m.0q6rcgp_0006,0.9301959,m.0q6rcgp,m.0q6rcgp,../../../data/tests/images/adults_full_final/m.0q6rcgp_0005.jpg,18.963112,29.502132,0.350309,0.550924,0.052271,0.014715,0.0,6.87068,-35,0.935253,0.0,0.0,0.100248,0.007117,0.085926,0.0,0.134288,89.735684,0.351286,2.82539,2.82539,1.309476,1.537211,-16.577453,-6.343984,1.522638,962.369202,0.0,17,86,73,99,69,100.0,100.0,86,17,100,100,100,100,96,91,100,87,73,24,100,100,29,7,92,99,100,77,100,,m.0q6rcgp_0005,m.0q6rcgp
94,m.07t4d6d_0002,m.07t4d6d_0001,0.9286643,m.07t4d6d,m.07t4d6d,../../../data/tests/images/adults_full_final/m.07t4d6d_0002.jpg,16.207123,44.357006,0.08642,0.194316,0.008749,0.225277,0.0,6.361538,-16,0.834022,0.0,0.0,0.11678,0.006802,0.0,0.0,0.006953,87.004497,0.367519,2.781609,2.816092,1.224426,1.496521,0.582515,-6.580139,-0.791919,-6937.411621,0.19898,7,79,48,47,88,100.0,100.0,80,51,100,100,100,100,96,100,100,99,70,32,100,100,15,5,100,99,100,40,0,,m.07t4d6d_0002,m.07t4d6d
96,m.04t15q_0004,m.04t15q_0003,0.92843425,m.04t15q,m.04t15q,../../../data/tests/images/adults_full_final/m.04t15q_0004.jpg,18.910215,2.311667,0.173061,0.02635,0.000353,0.997664,0.0,4.000913,-21,0.920991,0.0,0.0,0.154566,0.014869,0.0,0.0,0.014289,82.112547,0.336259,2.949246,2.924872,1.360557,1.613338,-2.147822,-9.444625,0.574649,390.295959,0.0,17,99,59,3,7,1.0,100.0,50,42,100,100,100,100,96,100,100,99,65,19,100,100,40,13,100,97,100,75,100,,m.04t15q_0004,m.04t15q
98,m.04t15q_0003,m.04t15q_0004,0.92843425,m.04t15q,m.04t15q,../../../data/tests/images/adults_full_final/m.04t15q_0003.jpg,19.24864,5.959237,0.176327,0.070781,0.002321,0.768026,0.0,5.358515,-30,0.917084,0.0,0.0,0.152632,0.007326,0.0,0.0,0.015648,82.063329,0.341259,2.924872,2.949246,1.340623,1.589701,-0.823184,-10.415552,0.830515,1951.32605,7.7e-05,19,97,59,7,37,94.0,100.0,67,25,100,100,100,100,96,100,100,98,65,20,100,100,36,11,100,97,100,80,100,,m.04t15q_0003,m.04t15q
104,m.01syzdc_0001,m.01syzdc_0005,0.92510533,m.01syzdc,m.01syzdc,../../../data/tests/images/adults_full_final/m.01syzdc_0001.jpg,22.049482,25.211157,0.198347,0.597188,0.02891,0.010383,0.0,7.140627,-24,0.959043,0.0,0.0,0.092339,0.112196,0.0,0.0,0.001822,83.217312,0.378802,2.891356,2.927498,1.214356,1.425548,4.083765,-4.975088,-0.967968,-13442.080078,0.0,41,88,62,98,91,100.0,100.0,89,36,100,100,100,100,81,100,100,100,66,39,100,100,14,2,99,99,100,16,100,,m.01syzdc_0001,m.01syzdc
106,m.01syzdc_0005,m.01syzdc_0001,0.92510533,m.01syzdc,m.01syzdc,../../../data/tests/images/adults_full_final/m.01syzdc_0005.jpg,21.548103,27.215902,0.285583,0.506001,0.019337,0.017229,0.0,6.874597,-38,0.915165,0.0,0.0,0.088663,0.125412,0.0,0.0,0.006458,83.083327,0.378752,2.891356,2.927498,1.207914,1.432335,2.471798,-8.439461,-0.581643,-13435.420898,0.0,36,87,69,100,99,100.0,100.0,86,13,100,100,100,100,78,100,100,99,66,39,100,100,13,2,100,98,100,16,100,,m.01syzdc_0005,m.01syzdc
112,m.036tk5_0002,m.036tk5_0003,0.9224625,m.036tk5,m.036tk5,../../../data/tests/images/adults_full_final/m.036tk5_0002.jpg,19.683338,21.88729,0.548611,0.119136,0.016375,0.593507,0.0,6.299766,-39,0.725402,0.0,0.0,0.113241,0.015739,0.0,0.0,0.002855,91.958059,0.355178,2.77458,2.718415,1.288086,1.527402,-14.516188,2.349902,1.106578,-1993.448853,0.0,22,89,84,17,100,100.0,100.0,79,11,100,100,100,100,96,100,100,100,75,26,100,100,25,6,94,100,100,65,100,,m.036tk5_0002,m.036tk5
116,m.0fphf8__0001,m.0fphf8__0003,0.9209768,m.0fphf8_,m.0fphf8_,../../../data/tests/images/adults_full_final/m.0fphf8__0001.jpg,27.1845,73.757283,0.229568,0.357203,0.022853,0.064328,0.0,7.228202,-34,0.955762,0.0,0.0,0.109929,0.108828,0.0,0.0,0.012223,85.220474,0.367553,2.951807,2.86747,1.237916,1.482779,-13.107989,-15.725881,2.527521,-12619.473633,0.0,83,66,64,96,97,100.0,100.0,90,18,100,100,100,100,82,100,100,99,68,32,100,100,17,4,95,93,100,18,100,,m.0fphf8__0001,m.0fphf8_
118,m.0fphf8__0003,m.0fphf8__0001,0.9209768,m.0fphf8_,m.0fphf8_,../../../data/tests/images/adults_full_final/m.0fphf8__0003.jpg,27.836786,58.55788,0.192837,0.352437,0.025825,0.068087,0.0,7.323968,-39,0.956101,0.0,0.0,0.09639,0.140034,0.0,0.0,0.005972,82.348294,0.357502,2.987654,2.950617,1.279712,1.517473,-10.382381,-16.814368,2.322817,-11232.546875,0.0,87,72,61,95,94,100.0,100.0,92,11,100,100,100,100,73,100,100,99,65,27,100,100,23,6,97,92,100,22,100,,m.0fphf8__0003,m.0fphf8_
120,m.0ds7tx__0001,m.0ds7tx__0004,0.9191344,m.0ds7tx_,m.0ds7tx_,../../../data/tests/images/adults_full_final/m.0ds7tx__0001.jpg,25.513348,66.509159,0.594291,0.085818,0.003663,0.702103,0.0,5.687473,-36,0.85879,0.0,0.0,0.081632,0.008571,0.0,0.0,0.003819,86.010781,0.412508,2.813953,2.837209,1.10907,1.315127,-0.907167,17.858874,0.302837,7297.498047,0.0,72,69,86,9,54,98.0,100.0,71,15,100,100,100,100,96,100,100,100,69,64,100,100,5,1,100,91,100,92,100,,m.0ds7tx__0001,m.0ds7tx_
124,m.02vmmm7_0007,m.02vmmm7_0002,0.9189886,m.02vmmm7,m.02vmmm7,../../../data/tests/images/adults_full_final/m.02vmmm7_0007.jpg,24.642962,178.790092,0.612245,0.170622,0.009863,0.237642,0.0,6.507466,-32,0.897528,12.452251,0.0,0.075715,0.156506,0.131427,0.0,0.078047,88.283129,0.368784,2.778882,2.871899,1.233785,1.47783,-13.042125,-4.859023,1.228565,-12488.969727,0.0,65,30,86,36,92,100.0,100.0,81,22,100,45,100,100,67,87,100,92,71,33,100,100,16,4,95,99,100,18,100,,m.02vmmm7_0007,m.02vmmm7
128,m.095wbl_0001,m.095wbl_0004,0.9179847,m.095wbl,m.095wbl,../../../data/tests/images/adults_full_final/m.095wbl_0001.jpg,23.570986,161.889475,0.597796,0.15843,0.010258,0.296932,0.0,6.445476,0,0.950108,0.0,0.0,0.108035,0.109614,0.0,0.0,0.006075,83.299736,0.367757,2.974402,2.96206,1.244027,1.475158,-13.421609,-9.166264,0.55451,5690.391602,0.0,55,34,86,30,93,100.0,100.0,81,77,100,100,100,100,82,100,100,99,66,32,100,100,17,4,95,97,100,89,100,,m.095wbl_0001,m.095wbl
130,m.095wbl_0004,m.095wbl_0001,0.9179847,m.095wbl,m.095wbl,../../../data/tests/images/adults_full_final/m.095wbl_0004.jpg,25.468912,148.417173,0.456382,0.176514,0.00902,0.215519,0.0,6.543723,-42,0.946905,0.0,0.0,0.108439,0.109639,0.0,0.0,0.006171,81.400308,0.367672,3.011693,3.049656,1.244315,1.475499,-13.874509,-8.834115,1.123434,8714.344727,0.0,72,38,79,38,89,100.0,100.0,82,8,100,100,100,100,82,100,100,99,64,32,100,100,17,4,94,98,100,94,100,,m.095wbl_0004,m.095wbl
134,m.087_wh_0005,m.087_wh_0002,0.91715443,m.087_wh,m.087_wh,../../../data/tests/images/adults_full_final/m.087_wh_0005.jpg,25.233896,29.942028,0.263117,0.141272,0.009871,0.381265,0.0,6.369876,-36,0.931893,0.0,0.0,0.080139,0.101501,0.0,0.0,0.030053,91.913893,0.394085,2.681157,2.714122,1.160917,1.376606,8.062014,5.125257,1.153696,-15865.691406,0.073355,70,86,67,24,92,100.0,100.0,80,15,100,100,100,100,84,100,100,97,75,49,100,100,8,1,98,99,100,10,0,,m.087_wh_0005,m.087_wh
138,m.0g555_6_0002,m.0g555_6_0003,0.9169042,m.0g555_6,m.0g555_6,../../../data/tests/images/adults_full_final/m.0g555_6_0002.jpg,23.901403,11.205715,0.244261,0.176979,0.0084,0.251931,0.0,6.426983,-23,0.90459,0.0,0.0,0.081568,0.175312,0.0,0.0,0.007294,88.446773,0.428757,2.749822,2.795274,1.055376,1.276946,-5.72455,2.520356,-1.092315,-12692.349609,0.0,59,94,66,39,87,100.0,100.0,80,38,100,100,100,100,60,100,100,99,72,79,100,100,3,1,99,100,100,18,100,,m.0g555_6_0002,m.0g555_6
136,m.0g555_6_0003,m.0g555_6_0002,0.9169042,m.0g555_6,m.0g555_6,../../../data/tests/images/adults_full_final/m.0g555_6_0003.jpg,24.639662,38.71838,0.264463,0.157328,0.007907,0.332993,0.0,6.379406,-19,0.862887,0.0,0.0,0.073211,0.162736,0.0,0.0,0.003159,84.427289,0.415068,2.869048,2.892857,1.090183,1.319062,-5.766874,-0.380023,-1.142737,-11755.178711,0.0,65,81,67,30,85,100.0,100.0,80,45,100,100,100,100,65,100,100,100,67,66,100,100,4,1,99,100,100,21,100,,m.0g555_6_0003,m.0g555_6
154,m.0276kbj_0001,m.0276kbj_0002,0.90499663,m.0276kbj,m.0276kbj,../../../data/tests/images/adults_full_final/m.0276kbj_0001.jpg,16.674362,67.232622,0.198962,0.333595,0.030768,0.063308,0.0,7.268694,-32,0.723781,3.515942,0.0,0.01963,0.00679,0.0,0.0,0.002889,80.021777,0.368188,2.9625,3.0375,1.215411,1.500592,1.336718,-7.358427,2.758567,5189.194824,0.0,8,69,62,94,89,100.0,100.0,91,22,100,83,100,49,96,100,100,100,62,33,100,100,14,5,100,98,100,88,100,,m.0276kbj_0001,m.0276kbj
158,m.01tx2__0005,m.01tx2__0003,0.90443563,m.01tx2_,m.01tx2_,../../../data/tests/images/adults_full_final/m.01tx2__0005.jpg,22.659071,71.865256,0.650391,0.301074,0.064342,0.323013,0.0,7.32263,-29,0.958613,100.0,0.0,0.060778,0.009458,0.0,0.0,0.006331,78.217702,0.373825,3.051031,3.07667,1.210459,1.464588,-4.212348,-5.60084,1.008793,2114.415039,0.0,47,67,88,88,60,100.0,100.0,92,27,100,0,100,98,96,100,100,99,60,36,100,100,13,3,99,99,100,81,100,,m.01tx2__0005,m.01tx2_
156,m.01tx2__0003,m.01tx2__0005,0.90443563,m.01tx2_,m.01tx2_,../../../data/tests/images/adults_full_final/m.01tx2__0003.jpg,20.985914,34.83906,0.679501,0.193075,0.01908,0.314336,0.0,6.748802,-8,0.941897,0.0,0.0,0.049868,0.006579,0.0,0.0,0.005407,77.181936,0.380019,3.077922,3.116883,1.184153,1.447298,-3.934815,-6.744027,1.003411,932.159058,0.0,32,83,89,47,99,100.0,100.0,84,65,100,100,100,95,96,100,100,99,59,40,100,100,10,3,100,99,100,77,100,,m.01tx2__0003,m.01tx2_
162,m.09g6hcz_0004,m.09g6hcz_0002,0.9017365,m.09g6hcz,m.09g6hcz,../../../data/tests/images/adults_full_final/m.09g6hcz_0004.jpg,22.378763,78.215098,0.455077,0.472239,0.02144,0.029188,0.0,6.927843,-43,0.966844,0.0,0.0,0.099403,0.107367,0.0,0.0,0.009957,89.058478,0.372552,2.730337,2.764045,1.228015,1.456171,2.076449,-8.977123,-0.439119,-9956.896484,0.0,44,64,79,99,98,100.0,100.0,87,6,100,100,100,100,82,100,100,99,72,35,100,100,15,3,100,98,100,27,100,,m.09g6hcz_0004,m.09g6hcz
168,m.0464g_t_0003,m.0464g_t_0002,0.9006289,m.0464g_t,m.0464g_t,../../../data/tests/images/adults_full_final/m.0464g_t_0003.jpg,16.612873,34.661354,0.663892,0.254895,0.022132,0.15938,0.0,7.154655,-32,0.889333,27.050156,0.0,0.047768,0.008895,0.0,0.0,0.037756,87.703038,0.39748,3.012417,3.050389,1.138421,1.377427,25.731411,0.535807,0.552333,-3033.772949,0.0,8,83,88,75,98,100.0,100.0,89,22,100,13,100,94,96,100,100,96,71,52,100,100,7,1,81,100,100,60,100,,m.0464g_t_0003,m.0464g_t
