img_name,im_id,ethnicity,id_class,face_id,Age,children_agegroup
m.01ld7zl_0002,m.01ld7zl,African,01ld7zl,2,38,
m.0g9wxh6_0004,m.0g9wxh6,African,0g9wxh6,4,45,
m.02x1rwq_0002,m.02x1rwq,African,02x1rwq,2,23,
m.02z1r_0_0003,m.02z1r_0,African,02z1r_0,3,40,
m.02q67z2_0001,m.02q67z2,African,02q67z2,1,26,
m.09jqbd_0002,m.09jqbd,African,09jqbd,2,21,
m.06npmh_0001,m.06npmh,African,06npmh,1,31,
m.04_0566_0004,m.04_0566,African,04_0566,4,25,
m.03_4rg_0005,m.03_4rg,African,03_4rg,5,25,
m.05zyz_6_0002,m.05zyz_6,African,05zyz_6,2,28,
m.0fpgg4_0004,m.0fpgg4,African,0fpgg4,4,26,
m.0gg8m_6_0002,m.0gg8m_6,African,0gg8m_6,2,19,
m.09jvjz_0004,m.09jvjz,African,09jvjz,4,30,
m.01kb1dx_0001,m.01kb1dx,African,01kb1dx,1,35,
m.0krxps_0002,m.0krxps,African,0krxps,2,21,
m.0kt2ht_0003,m.0kt2ht,African,0kt2ht,3,29,
m.05b3gt1_0003,m.05b3gt1,African,05b3gt1,3,28,
m.04gq8mr_0001,m.04gq8mr,African,04gq8mr,1,22,
m.04y9293_0002,m.04y9293,African,04y9293,2,34,
m.01t4wm_0002,m.01t4wm,African,01t4wm,2,33,
m.0hcs3_0003,m.0hcs3,African,0hcs3,3,30,
m.06w832f_0002,m.06w832f,African,06w832f,2,21,
m.0d761n_0003,m.0d761n,African,0d761n,3,23,
m.09k147_0002,m.09k147,African,09k147,2,24,
m.0795tk_0003,m.0795tk,African,0795tk,3,27,
m.02rpwm7_0001,m.02rpwm7,African,02rpwm7,1,40,
m.012mk7_0003,m.012mk7,African,012mk7,3,30,
m.0j6263w_0001,m.0j6263w,African,0j6263w,1,24,
m.07bp7h_0004,m.07bp7h,African,07bp7h,4,50,
m.02qdp4v_0001,m.02qdp4v,African,02qdp4v,1,23,
m.0b6m9yp_0003,m.0b6m9yp,African,0b6m9yp,3,25,
m.06_w_yf_0001,m.06_w_yf,African,06_w_yf,1,22,
m.07r4j1_0004,m.07r4j1,African,07r4j1,4,28,
m.0p8s_gx_0001,m.0p8s_gx,African,0p8s_gx,1,40,
m.03nn3dd_0002,m.03nn3dd,African,03nn3dd,2,34,
m.049jqj_0002,m.049jqj,African,049jqj,2,23,
m.0h3n2df_0003,m.0h3n2df,African,0h3n2df,3,25,
m.05c1h4t_0003,m.05c1h4t,African,05c1h4t,3,23,
m.04lywf_0001,m.04lywf,African,04lywf,1,28,
m.03yj4sd_0003,m.03yj4sd,African,03yj4sd,3,22,
m.09rw4xt_0001,m.09rw4xt,African,09rw4xt,1,25,
m.026zjlc_0001,m.026zjlc,African,026zjlc,1,29,
m.03nwvgl_0001,m.03nwvgl,African,03nwvgl,1,39,
m.043ftz_0001,m.043ftz,African,043ftz,1,35,
m.05zrps_0004,m.05zrps,African,05zrps,4,24,
m.0gkzzyx_0003,m.0gkzzyx,African,0gkzzyx,3,22,
m.03f4rb_0003,m.03f4rb,African,03f4rb,3,33,
m.026f4b4_0002,m.026f4b4,African,026f4b4,2,27,
m.03x5sv_0001,m.03x5sv,African,03x5sv,1,38,
m.08wfn1_0003,m.08wfn1,African,08wfn1,3,26,
m.0dm1ts_0004,m.0dm1ts,African,0dm1ts,4,26,
m.02r7z8k_0001,m.02r7z8k,African,02r7z8k,1,29,
m.0ft458_0001,m.0ft458,African,0ft458,1,29,
m.087tf6_0003,m.087tf6,African,087tf6,3,27,
m.05pw3__0003,m.05pw3_,African,05pw3_,3,31,
m.034020_0003,m.034020,African,034020,3,45,
m.081kq__0001,m.081kq_,African,081kq_,1,23,
m.03c7yx5_0002,m.03c7yx5,African,03c7yx5,2,29,
m.0ds9tmg_0003,m.0ds9tmg,African,0ds9tmg,3,26,
m.05c1h4t_0002,m.05c1h4t,African,05c1h4t,2,30,
m.02w_f6b_0004,m.02w_f6b,African,02w_f6b,4,24,
m.09g86wb_0001,m.09g86wb,African,09g86wb,1,24,
m.07drlm_0004,m.07drlm,African,07drlm,4,23,
m.0ddxs3_0003,m.0ddxs3,African,0ddxs3,3,23,
m.080f09_0003,m.080f09,African,080f09,3,30,
m.027fvls_0004,m.027fvls,African,027fvls,4,43,
m.0bxvvc_0002,m.0bxvvc,African,0bxvvc,2,52,
m.0h_43j1_0004,m.0h_43j1,African,0h_43j1,4,24,
m.09j6df_0001,m.09j6df,African,09j6df,1,26,
m.03cdj9p_0001,m.03cdj9p,African,03cdj9p,1,25,
m.03rst1_0003,m.03rst1,African,03rst1,3,30,
m.04lj224_0001,m.04lj224,African,04lj224,1,28,
m.0dxgqy_0003,m.0dxgqy,African,0dxgqy,3,26,
m.0gy1ykc_0003,m.0gy1ykc,African,0gy1ykc,3,31,
m.0dcj93_0004,m.0dcj93,African,0dcj93,4,26,
m.02x1rwq_0004,m.02x1rwq,African,02x1rwq,4,25,
m.05p9q60_0001,m.05p9q60,African,05p9q60,1,26,
m.027l2tm_0002,m.027l2tm,African,027l2tm,2,26,
m.01njp7f_0001,m.01njp7f,African,01njp7f,1,35,
m.0bbzcnm_0002,m.0bbzcnm,African,0bbzcnm,2,24,
m.0bbth99_0001,m.0bbth99,African,0bbth99,1,28,
m.05b2343_0004,m.05b2343,African,05b2343,4,28,
m.06420dm_0005,m.06420dm,African,06420dm,5,23,
m.05y7wr_0001,m.05y7wr,African,05y7wr,1,24,
m.05f962_0002,m.05f962,African,05f962,2,34,
m.0dlnvv_0002,m.0dlnvv,African,0dlnvv,2,28,
m.04w30s_0001,m.04w30s,African,04w30s,1,52,
m.0bkxbw_0003,m.0bkxbw,African,0bkxbw,3,34,
m.048znt_0001,m.048znt,African,048znt,1,28,
m.07ddt3_0001,m.07ddt3,African,07ddt3,1,27,
m.053gn9_0002,m.053gn9,African,053gn9,2,38,
m.09fd26_0002,m.09fd26,African,09fd26,2,40,
m.03vdjk_0001,m.03vdjk,African,03vdjk,1,22,
m.08b0_7_0001,m.08b0_7,African,08b0_7,1,34,
m.0gfdn_j_0001,m.0gfdn_j,African,0gfdn_j,1,28,
m.04m2k__0004,m.04m2k_,African,04m2k_,4,45,
m.0p786p4_0003,m.0p786p4,African,0p786p4,3,25,
m.0d2z2g_0002,m.0d2z2g,African,0d2z2g,2,27,
m.090mpz_0002,m.090mpz,African,090mpz,2,27,
m.04ljbsk_0003,m.04ljbsk,African,04ljbsk,3,42,
m.0c31p__0002,m.0c31p_,African,0c31p_,2,36,
m.03814m_0003,m.03814m,African,03814m,3,30,
m.056mbq_0002,m.056mbq,African,056mbq,2,36,
m.0fp_9sh_0004,m.0fp_9sh,African,0fp_9sh,4,34,
m.0gb1hg_0004,m.0gb1hg,African,0gb1hg,4,32,
m.0g5rdrb_0004,m.0g5rdrb,African,0g5rdrb,4,27,
m.03ybv6r_0002,m.03ybv6r,African,03ybv6r,2,28,
m.06_vnc3_0002,m.06_vnc3,African,06_vnc3,2,25,
m.05p1bxj_0004,m.05p1bxj,African,05p1bxj,4,42,
m.0793y8_0003,m.0793y8,African,0793y8,3,27,
m.02qv04__0002,m.02qv04_,African,02qv04_,2,27,
m.04y531_0002,m.04y531,African,04y531,2,27,
m.0cp0cft_0003,m.0cp0cft,African,0cp0cft,3,42,
m.05zm6n6_0001,m.05zm6n6,African,05zm6n6,1,19,
m.03md25g_0002,m.03md25g,African,03md25g,2,24,
m.087tj2_0004,m.087tj2,African,087tj2,4,33,
m.02r66cq_0002,m.02r66cq,African,02r66cq,2,34,
m.02p65p_0001,m.02p65p,African,02p65p,1,40,
m.03f0j8g_0002,m.03f0j8g,African,03f0j8g,2,46,
m.0h97qhx_0003,m.0h97qhx,African,0h97qhx,3,33,
m.03hkyvv_0002,m.03hkyvv,African,03hkyvv,2,25,
m.026fkt_0001,m.026fkt,African,026fkt,1,43,
m.026b91__0004,m.026b91_,African,026b91_,4,34,
m.06q_bp_0002,m.06q_bp,African,06q_bp,2,23,
m.03h_49f_0003,m.03h_49f,African,03h_49f,3,42,
m.04rlky_0002,m.04rlky,African,04rlky,2,22,
m.05q6t9l_0001,m.05q6t9l,African,05q6t9l,1,30,
m.0n3slfj_0005,m.0n3slfj,African,0n3slfj,5,22,
m.064qbj5_0002,m.064qbj5,African,064qbj5,2,26,
m.0k3jsg8_0002,m.0k3jsg8,African,0k3jsg8,2,48,
m.0f7469_0003,m.0f7469,African,0f7469,3,25,
m.04mvcl_0003,m.04mvcl,African,04mvcl,3,25,
m.09jqn2_0005,m.09jqn2,African,09jqn2,5,35,
m.0b8bms_0002,m.0b8bms,African,0b8bms,2,21,
m.03c7jwf_0001,m.03c7jwf,African,03c7jwf,1,31,
m.03w99ds_0001,m.03w99ds,African,03w99ds,1,35,
m.0gbz06m_0001,m.0gbz06m,African,0gbz06m,1,35,
m.0c72pq_0002,m.0c72pq,African,0c72pq,2,28,
m.01vh42g_0002,m.01vh42g,African,01vh42g,2,25,
m.03c_lmt_0007,m.03c_lmt,African,03c_lmt,7,34,
m.02vvnzr_0003,m.02vvnzr,African,02vvnzr,3,28,
m.03nlm__0002,m.03nlm_,African,03nlm_,2,20,
m.047pvmv_0002,m.047pvmv,African,047pvmv,2,20,
m.08mxgv_0003,m.08mxgv,African,08mxgv,3,34,
m.02qw2p3_0003,m.02qw2p3,African,02qw2p3,3,37,
m.026_m72_0002,m.026_m72,African,026_m72,2,33,
m.08zzv9_0001,m.08zzv9,African,08zzv9,1,33,
m.06s27s_0001,m.06s27s,African,06s27s,1,37,
m.027kzkb_0003,m.027kzkb,African,027kzkb,3,25,
m.06403h_0003,m.06403h,African,06403h,3,29,
m.04509v_0004,m.04509v,African,04509v,4,64,
m.05w_6q_0002,m.05w_6q,African,05w_6q,2,35,
m.07kj19k_0003,m.07kj19k,African,07kj19k,3,33,
m.05q6t9l_0003,m.05q6t9l,African,05q6t9l,3,24,
m.03mtrl_0001,m.03mtrl,African,03mtrl,1,30,
m.01p71cg_0004,m.01p71cg,African,01p71cg,4,29,
m.0k3lqjp_0003,m.0k3lqjp,African,0k3lqjp,3,19,
m.0g5qnq8_0003,m.0g5qnq8,African,0g5qnq8,3,21,
m.04vklk_0003,m.04vklk,African,04vklk,3,31,
m.0bwl6h_0002,m.0bwl6h,African,0bwl6h,2,28,
m.0gmy00_0004,m.0gmy00,African,0gmy00,4,24,
m.0h_ckqw_0003,m.0h_ckqw,African,0h_ckqw,3,22,
m.01wgx3j_0004,m.01wgx3j,African,01wgx3j,4,32,
m.02qlvxk_0001,m.02qlvxk,African,02qlvxk,1,24,
m.0gh7d34_0003,m.0gh7d34,African,0gh7d34,3,23,
m.03qkktc_0002,m.03qkktc,African,03qkktc,2,23,
m.0ddrzd_0004,m.0ddrzd,African,0ddrzd,4,47,
m.046456x_0005,m.046456x,African,046456x,5,27,
m.0bsx90_0001,m.0bsx90,African,0bsx90,1,37,
m.04m4gr_0003,m.04m4gr,African,04m4gr,3,35,
m.03qmyz0_0003,m.03qmyz0,African,03qmyz0,3,59,
m.02qwkw2_0002,m.02qwkw2,African,02qwkw2,2,25,
m.03nqkk4_0003,m.03nqkk4,African,03nqkk4,3,27,
m.01l5rfm_0003,m.01l5rfm,African,01l5rfm,3,28,
m.0ds62wk_0001,m.0ds62wk,African,0ds62wk,1,20,
m.04dp07_0004,m.04dp07,African,04dp07,4,36,
m.09ggdc7_0005,m.09ggdc7,African,09ggdc7,5,26,
m.09gg14m_0002,m.09gg14m,African,09gg14m,2,23,
m.0f2v05_0001,m.0f2v05,African,0f2v05,1,28,
m.0b9jvw_0002,m.0b9jvw,African,0b9jvw,2,37,
m.05hgth_0001,m.05hgth,African,05hgth,1,34,
m.08xxx9_0005,m.08xxx9,African,08xxx9,5,38,
m.09gq1gq_0004,m.09gq1gq,African,09gq1gq,4,23,
m.08p_br_0004,m.08p_br,African,08p_br,4,51,
m.029q06_0001,m.029q06,African,029q06,1,41,
m.01nk6j7_0001,m.01nk6j7,African,01nk6j7,1,38,
m.09r1j5_0002,m.09r1j5,African,09r1j5,2,25,
m.05l_8j_0002,m.05l_8j,African,05l_8j,2,24,
m.0py1j36_0005,m.0py1j36,African,0py1j36,5,28,
m.034020_0001,m.034020,African,034020,1,40,
m.0g40qv_0003,m.0g40qv,African,0g40qv,3,35,
m.07c75l_0005,m.07c75l,African,07c75l,5,24,
m.062yg7_0003,m.062yg7,African,062yg7,3,35,
m.056fcv_0001,m.056fcv,African,056fcv,1,50,
m.0h66dls_0001,m.0h66dls,African,0h66dls,1,27,
m.02vnmw3_0004,m.02vnmw3,African,02vnmw3,4,25,
m.06mcgh_0001,m.06mcgh,African,06mcgh,1,36,
m.051zbj4_0001,m.051zbj4,African,051zbj4,1,28,
m.04qmlm_0002,m.04qmlm,African,04qmlm,2,34,
m.06blmc_0003,m.06blmc,African,06blmc,3,32,
m.0bc1ln_0002,m.0bc1ln,African,0bc1ln,2,23,
m.0g3_q__0003,m.0g3_q_,African,0g3_q_,3,40,
m.081p2q_0001,m.081p2q,African,081p2q,1,26,
m.06w832f_0001,m.06w832f,African,06w832f,1,29,
m.04jk_jl_0001,m.04jk_jl,African,04jk_jl,1,23,
m.0knwxgj_0002,m.0knwxgj,African,0knwxgj,2,24,
m.022w56_0003,m.022w56,African,022w56,3,63,
m.0j3wjl4_0001,m.0j3wjl4,African,0j3wjl4,1,27,
m.09gn54_0003,m.09gn54,African,09gn54,3,27,
m.0p8tk59_0004,m.0p8tk59,African,0p8tk59,4,26,
m.09jxzh_0001,m.09jxzh,African,09jxzh,1,25,
m.09v90_p_0002,m.09v90_p,African,09v90_p,2,30,
m.0hzm8yw_0003,m.0hzm8yw,African,0hzm8yw,3,29,
m.0bvgv4_0001,m.0bvgv4,African,0bvgv4,1,28,
m.027vzgl_0001,m.027vzgl,African,027vzgl,1,29,
m.03hzzrj_0003,m.03hzzrj,African,03hzzrj,3,50,
m.04nt5w_0001,m.04nt5w,African,04nt5w,1,35,
m.01ws2cd_0003,m.01ws2cd,African,01ws2cd,3,38,
m.03qkjgr_0002,m.03qkjgr,African,03qkjgr,2,22,
m.0hhvyvd_0002,m.0hhvyvd,African,0hhvyvd,2,36,
m.04ghwqc_0004,m.04ghwqc,African,04ghwqc,4,44,
m.027c90f_0001,m.027c90f,African,027c90f,1,29,
m.0d2zv4_0002,m.0d2zv4,African,0d2zv4,2,32,
m.06k1qm_0005,m.06k1qm,African,06k1qm,5,24,
m.01prt74_0002,m.01prt74,African,01prt74,2,35,
m.03l0kl_0003,m.03l0kl,African,03l0kl,3,24,
m.07s3kt_0002,m.07s3kt,African,07s3kt,2,25,
m.01mddpy_0002,m.01mddpy,African,01mddpy,2,31,
m.0g1w9r_0002,m.0g1w9r,African,0g1w9r,2,23,
m.01r9wv1_0001,m.01r9wv1,African,01r9wv1,1,29,
m.01wnf57_0003,m.01wnf57,African,01wnf57,3,30,
m.0gzjpf_0002,m.0gzjpf,African,0gzjpf,2,29,
m.02rwhp6_0003,m.02rwhp6,African,02rwhp6,3,30,
m.05mk6s_0004,m.05mk6s,African,05mk6s,4,30,
m.01drbr_0003,m.01drbr,African,01drbr,3,37,
m.04ld8rm_0003,m.04ld8rm,African,04ld8rm,3,31,
m.04174b_0003,m.04174b,African,04174b,3,44,
m.04nb3n_0001,m.04nb3n,African,04nb3n,1,36,
m.0hgld5j_0001,m.0hgld5j,African,0hgld5j,1,24,
m.02x35pc_0003,m.02x35pc,African,02x35pc,3,30,
m.0270lwc_0002,m.0270lwc,African,0270lwc,2,22,
m.01k5vjs_0004,m.01k5vjs,African,01k5vjs,4,44,
m.01wgx3j_0001,m.01wgx3j,African,01wgx3j,1,37,
m.07x9j9_0001,m.07x9j9,African,07x9j9,1,37,
m.04f8fb_0002,m.04f8fb,African,04f8fb,2,24,
m.0p3m5ml_0003,m.0p3m5ml,African,0p3m5ml,3,24,
m.02vst7p_0002,m.02vst7p,African,02vst7p,2,29,
m.0b85qg_0001,m.0b85qg,African,0b85qg,1,32,
m.05zz1v_0001,m.05zz1v,African,05zz1v,1,28,
m.0ljqf_0005,m.0ljqf,African,0ljqf,5,56,
m.09fkb__0003,m.09fkb_,African,09fkb_,3,39,
m.0c72pq_0004,m.0c72pq,African,0c72pq,4,34,
m.0h3tbgt_0001,m.0h3tbgt,African,0h3tbgt,1,25,
m.059zwr_0003,m.059zwr,African,059zwr,3,33,
m.08y7lf_0002,m.08y7lf,African,08y7lf,2,32,
m.0bw2x2_0001,m.0bw2x2,African,0bw2x2,1,34,
m.01mxp8n_0002,m.01mxp8n,African,01mxp8n,2,27,
m.0j4zlkn_0004,m.0j4zlkn,African,0j4zlkn,4,26,
m.0ngtn1l_0001,m.0ngtn1l,African,0ngtn1l,1,34,
m.047frhh_0003,m.047frhh,African,047frhh,3,60,
m.0cwfyq_0003,m.0cwfyq,African,0cwfyq,3,27,
m.05m0pq_0001,m.05m0pq,African,05m0pq,1,25,
m.01pvn0z_0005,m.01pvn0z,African,01pvn0z,5,25,
m.0hp6j_0002,m.0hp6j,African,0hp6j,2,28,
m.04qpwd_0003,m.04qpwd,African,04qpwd,3,31,
m.094cbg_0003,m.094cbg,African,094cbg,3,27,
m.0cwhxj_0001,m.0cwhxj,African,0cwhxj,1,39,
m.0h676gj_0002,m.0h676gj,African,0h676gj,2,20,
m.01pl8b6_0002,m.01pl8b6,African,01pl8b6,2,52,
m.01llxc4_0003,m.01llxc4,African,01llxc4,3,27,
m.065fyq_0001,m.065fyq,African,065fyq,1,38,
m.0b6nb2b_0002,m.0b6nb2b,African,0b6nb2b,2,34,
m.02vygsf_0003,m.02vygsf,African,02vygsf,3,36,
m.0q3y1yg_0003,m.0q3y1yg,African,0q3y1yg,3,27,
m.01w6m_0_0006,m.01w6m_0,African,01w6m_0,6,37,
m.03cwdfz_0002,m.03cwdfz,African,03cwdfz,2,35,
m.0dr3gs_0002,m.0dr3gs,African,0dr3gs,2,38,
m.0kmws_0003,m.0kmws,African,0kmws,3,37,
m.027l89n_0002,m.027l89n,African,027l89n,2,24,
m.0r4mk8w_0001,m.0r4mk8w,African,0r4mk8w,1,31,
m.0bmhmkz_0005,m.0bmhmkz,African,0bmhmkz,5,23,
m.0b4v13_0004,m.0b4v13,African,0b4v13,4,40,
m.0161fm_0003,m.0161fm,African,0161fm,3,34,
m.05bzwz0_0001,m.05bzwz0,African,05bzwz0,1,37,
m.0fz9yq_0002,m.0fz9yq,African,0fz9yq,2,32,
m.08rsvw_0003,m.08rsvw,African,08rsvw,3,38,
m.03ccxc8_0003,m.03ccxc8,African,03ccxc8,3,24,
m.076vxp_0003,m.076vxp,African,076vxp,3,25,
m.0drm8t_0002,m.0drm8t,African,0drm8t,2,33,
m.043sfz8_0001,m.043sfz8,African,043sfz8,1,26,
m.02rdzqs_0003,m.02rdzqs,African,02rdzqs,3,26,
m.04csdkx_0003,m.04csdkx,African,04csdkx,3,22,
m.0h_dpyh_0001,m.0h_dpyh,African,0h_dpyh,1,21,
m.03_hbx_0001,m.03_hbx,African,03_hbx,1,24,
m.0g0_bg_0004,m.0g0_bg,African,0g0_bg,4,34,
m.026cz6h_0002,m.026cz6h,African,026cz6h,2,27,
m.01wszhw_0001,m.01wszhw,African,01wszhw,1,29,
m.05zl3c_0001,m.05zl3c,African,05zl3c,1,26,
m.0bwhksh_0002,m.0bwhksh,African,0bwhksh,2,26,
m.080gs5b_0001,m.080gs5b,African,080gs5b,1,25,
m.0gvr8h_0002,m.0gvr8h,African,0gvr8h,2,39,
m.030mpx_0002,m.030mpx,African,030mpx,2,30,
m.09755d_0001,m.09755d,African,09755d,1,33,
m.04583n_0003,m.04583n,African,04583n,3,22,
m.0k0wkgy_0004,m.0k0wkgy,African,0k0wkgy,4,25,
m.03yj4tx_0004,m.03yj4tx,African,03yj4tx,4,25,
m.0gf30y_0003,m.0gf30y,African,0gf30y,3,31,
m.08mfyy_0003,m.08mfyy,African,08mfyy,3,35,
m.02qvybd_0005,m.02qvybd,African,02qvybd,5,31,
m.01n3_7f_0001,m.01n3_7f,African,01n3_7f,1,34,
m.02q1l8w_0003,m.02q1l8w,African,02q1l8w,3,25,
m.01mn70j_0001,m.01mn70j,African,01mn70j,1,36,
m.04z56p_0001,m.04z56p,African,04z56p,1,37,
m.04lwt4_0003,m.04lwt4,African,04lwt4,3,36,
m.05l_q2_0002,m.05l_q2,African,05l_q2,2,25,
m.05p9sq3_0001,m.05p9sq3,African,05p9sq3,1,21,
m.0h1crds_0002,m.0h1crds,African,0h1crds,2,24,
m.02qvq8h_0002,m.02qvq8h,African,02qvq8h,2,24,
m.040g99_0003,m.040g99,African,040g99,3,32,
m.0jsgp9p_0003,m.0jsgp9p,African,0jsgp9p,3,28,
m.02qjc22_0004,m.02qjc22,African,02qjc22,4,48,
m.0g5rdrb_0003,m.0g5rdrb,African,0g5rdrb,3,25,
m.03yhtz4_0003,m.03yhtz4,African,03yhtz4,3,27,
m.09v484d_0006,m.09v484d,African,09v484d,6,24,
m.08ftv0_0001,m.08ftv0,African,08ftv0,1,25,
m.012vd6_0001,m.012vd6,African,012vd6,1,36,
m.05n8y__0004,m.05n8y_,African,05n8y_,4,28,
m.02rglsb_0003,m.02rglsb,African,02rglsb,3,20,
m.0bbth99_0005,m.0bbth99,African,0bbth99,5,31,
m.01nqs4t_0001,m.01nqs4t,African,01nqs4t,1,58,
m.0240vt_0001,m.0240vt,African,0240vt,1,47,
m.09y78j_0003,m.09y78j,African,09y78j,3,24,
m.05h1rbk_0004,m.05h1rbk,African,05h1rbk,4,27,
m.02l_4s_0001,m.02l_4s,African,02l_4s,1,38,
m.04mwvhg_0002,m.04mwvhg,African,04mwvhg,2,23,
m.01wxwp1_0004,m.01wxwp1,African,01wxwp1,4,37,
m.0h_fjs5_0001,m.0h_fjs5,African,0h_fjs5,1,27,
m.053gk__0002,m.053gk_,African,053gk_,2,27,
m.069g0m_0002,m.069g0m,African,069g0m,2,26,
m.05b3qns_0004,m.05b3qns,African,05b3qns,4,31,
m.05w7fc_0003,m.05w7fc,African,05w7fc,3,31,
m.02rfr0t_0002,m.02rfr0t,African,02rfr0t,2,30,
m.0784v1_0003,m.0784v1,African,0784v1,3,23,
m.07fc2z_0002,m.07fc2z,African,07fc2z,2,47,
m.027tw7s_0001,m.027tw7s,African,027tw7s,1,32,
m.0j46cwy_0002,m.0j46cwy,African,0j46cwy,2,25,
m.02zbm26_0003,m.02zbm26,African,02zbm26,3,25,
m.0gtmp1_0003,m.0gtmp1,African,0gtmp1,3,49,
m.02qhlj1_0002,m.02qhlj1,African,02qhlj1,2,28,
m.048v_w_0002,m.048v_w,African,048v_w,2,22,
m.0brc89_0002,m.0brc89,African,0brc89,2,48,
m.0h51wrt_0004,m.0h51wrt,African,0h51wrt,4,30,
m.01npcdc_0001,m.01npcdc,African,01npcdc,1,40,
m.0j446m6_0002,m.0j446m6,African,0j446m6,2,24,
m.05p1jm0_0001,m.05p1jm0,African,05p1jm0,1,27,
m.0bryp1b_0005,m.0bryp1b,African,0bryp1b,5,36,
m.03y0flt_0003,m.03y0flt,African,03y0flt,3,44,
m.03yj4sd_0001,m.03yj4sd,African,03yj4sd,1,23,
m.0g1dbn_0002,m.0g1dbn,African,0g1dbn,2,23,
m.02pgy5q_0002,m.02pgy5q,African,02pgy5q,2,29,
m.0df4rv_0002,m.0df4rv,African,0df4rv,2,35,
m.0h1gz3d_0002,m.0h1gz3d,African,0h1gz3d,2,28,
m.04741n_0001,m.04741n,African,04741n,1,35,
m.07wj0y_0004,m.07wj0y,African,07wj0y,4,19,
m.01t4wm_0001,m.01t4wm,African,01t4wm,1,44,
m.08ftv0_0002,m.08ftv0,African,08ftv0,2,32,
m.06z0nb_0001,m.06z0nb,African,06z0nb,1,22,
m.0dcj3s_0003,m.0dcj3s,African,0dcj3s,3,26,
m.0k_xbj_0003,m.0k_xbj,African,0k_xbj,3,36,
m.0gmfpwg_0004,m.0gmfpwg,African,0gmfpwg,4,23,
m.086wvy_0001,m.086wvy,African,086wvy,1,29,
m.02z21c6_0001,m.02z21c6,African,02z21c6,1,38,
m.02r5pqk_0003,m.02r5pqk,African,02r5pqk,3,22,
m.01ky6yy_0003,m.01ky6yy,African,01ky6yy,3,31,
m.0fsz71_0004,m.0fsz71,African,0fsz71,4,27,
m.01mqs5f_0004,m.01mqs5f,African,01mqs5f,4,32,
m.02w9x6_0002,m.02w9x6,African,02w9x6,2,50,
m.03mtlc_0002,m.03mtlc,African,03mtlc,2,52,
m.02pj7m__0004,m.02pj7m_,African,02pj7m_,4,26,
m.080886b_0004,m.080886b,African,080886b,4,22,
m.01sgd8_0001,m.01sgd8,African,01sgd8,1,42,
m.0gys07h_0003,m.0gys07h,African,0gys07h,3,35,
m.04rlq1_0004,m.04rlq1,African,04rlq1,4,29,
m.06602tr_0002,m.06602tr,African,06602tr,2,29,
m.058fz4_0002,m.058fz4,African,058fz4,2,46,
m.0g1y5b_0003,m.0g1y5b,African,0g1y5b,3,28,
m.048wcd_0003,m.048wcd,African,048wcd,3,31,
m.05c1m42_0004,m.05c1m42,African,05c1m42,4,21,
m.0bvwbd_0001,m.0bvwbd,African,0bvwbd,1,23,
m.02q8xh8_0001,m.02q8xh8,African,02q8xh8,1,23,
m.06j__3_0002,m.06j__3,African,06j__3,2,40,
m.08lbch_0002,m.08lbch,African,08lbch,2,33,
m.03_wtr_0004,m.03_wtr,African,03_wtr,4,32,
