img_name,Age,ethnicity,id_class,children_agegroup,im_id,face_id
African_80_0,15,African,80,13-15,African_80,
African_403_0,13,African,403,13-15,African_403,
Indian_108_5,15,Indian,108,13-15,Indian_108,
Indian_318_23,14,Indian,318,13-15,Indian_318,
Asian_716_12,15,Asian,716,13-15,Asian_716,
Indian_16_10,15,Indian,16,13-15,Indian_16,
Indian_122_2,14,Indian,122,13-15,Indian_122,
African_57_3,15,African,57,13-15,African_57,
Asian_431_22,14,Asian,431,13-15,Asian_431,
African_602_0,14,African,602,13-15,African_602,
Indian_208_230,15,Indian,208,13-15,Indian_208,
Indian_122_1,15,Indian,122,13-15,Indian_122,
Asian_24_53,15,Asian,24,13-15,Asian_24,
African_740_4,13,African,740,13-15,African_740,
Indian_537_0,14,Indian,537,13-15,Indian_537,
African_646_2,15,African,646,13-15,African_646,
African_91_3,13,African,91,13-15,African_91,
African_441_0,14,African,441,13-15,African_441,
African_610_2,15,African,610,13-15,African_610,
African_474_2,15,African,474,13-15,African_474,
African_217_2,14,African,217,13-15,African_217,
Asian_359_5,13,Asian,359,13-15,Asian_359,
African_593_4,13,African,593,13-15,African_593,
Caucasian_1318_31,14,Caucasian,1318,13-15,Caucasian_1318,
Indian_423_4,14,Indian,423,13-15,Indian_423,
Indian_111_0,13,Indian,111,13-15,Indian_111,
Indian_376_2,15,Indian,376,13-15,Indian_376,
Indian_13_0,13,Indian,13,13-15,Indian_13,
Asian_62_27,15,Asian,62,13-15,Asian_62,
Indian_224_0,14,Indian,224,13-15,Indian_224,
Asian_489_39,13,Asian,489,13-15,Asian_489,
African_6_1,14,African,6,13-15,African_6,
Asian_310_74,13,Asian,310,13-15,Asian_310,
African_159_9,14,African,159,13-15,African_159,
African_649_4,14,African,649,13-15,African_649,
Caucasian_560_25,13,Caucasian,560,13-15,Caucasian_560,
Caucasian_1050_5,13,Caucasian,1050,13-15,Caucasian_1050,
Asian_23_6,14,Asian,23,13-15,Asian_23,
African_397_1,15,African,397,13-15,African_397,
African_336_25,15,African,336,13-15,African_336,
Indian_58_13,13,Indian,58,13-15,Indian_58,
African_301_1,13,African,301,13-15,African_301,
Indian_255_26,15,Indian,255,13-15,Indian_255,
Indian_255_20,13,Indian,255,13-15,Indian_255,
African_241_45,13,African,241,13-15,African_241,
Asian_332_11,14,Asian,332,13-15,Asian_332,
African_451_1,15,African,451,13-15,African_451,
Indian_269_59,13,Indian,269,13-15,Indian_269,
Indian_211_1,14,Indian,211,13-15,Indian_211,
Caucasian_519_227,14,Caucasian,519,13-15,Caucasian_519,
Asian_66_17,14,Asian,66,13-15,Asian_66,
Indian_308_3,13,Indian,308,13-15,Indian_308,
Caucasian_329_96,13,Caucasian,329,13-15,Caucasian_329,
Indian_691_4,15,Indian,691,13-15,Indian_691,
African_436_2,14,African,436,13-15,African_436,
Indian_664_0,13,Indian,664,13-15,Indian_664,
African_119_14,15,African,119,13-15,African_119,
Asian_336_20,13,Asian,336,13-15,Asian_336,
Indian_102_2,14,Indian,102,13-15,Indian_102,
Indian_399_11,13,Indian,399,13-15,Indian_399,
Indian_531_37,14,Indian,531,13-15,Indian_531,
Indian_480_0,14,Indian,480,13-15,Indian_480,
Indian_113_0,13,Indian,113,13-15,Indian_113,
Indian_198_0,15,Indian,198,13-15,Indian_198,
Indian_7_0,13,Indian,7,13-15,Indian_7,
Indian_142_1,14,Indian,142,13-15,Indian_142,
Indian_269_12,14,Indian,269,13-15,Indian_269,
Indian_691_6,15,Indian,691,13-15,Indian_691,
African_184_13,13,African,184,13-15,African_184,
Indian_475_2,14,Indian,475,13-15,Indian_475,
Asian_403_41,14,Asian,403,13-15,Asian_403,
Caucasian_1322_16,15,Caucasian,1322,13-15,Caucasian_1322,
Indian_196_0,15,Indian,196,13-15,Indian_196,
African_57_1,14,African,57,13-15,African_57,
Indian_298_3,14,Indian,298,13-15,Indian_298,
African_355_4,14,African,355,13-15,African_355,
African_646_1,14,African,646,13-15,African_646,
African_634_19,15,African,634,13-15,African_634,
Caucasian_69_8,14,Caucasian,69,13-15,Caucasian_69,
Indian_631_8,14,Indian,631,13-15,Indian_631,
African_40_8,13,African,40,13-15,African_40,
Caucasian_407_34,13,Caucasian,407,13-15,Caucasian_407,
Indian_442_2,15,Indian,442,13-15,Indian_442,
Asian_519_2,15,Asian,519,13-15,Asian_519,
Caucasian_229_9,14,Caucasian,229,13-15,Caucasian_229,
Indian_711_2,13,Indian,711,13-15,Indian_711,
Asian_202_1,14,Asian,202,13-15,Asian_202,
African_36_2,14,African,36,13-15,African_36,
African_566_0,13,African,566,13-15,African_566,
Caucasian_1093_25,14,Caucasian,1093,13-15,Caucasian_1093,
African_75_1,13,African,75,13-15,African_75,
Asian_552_7,13,Asian,552,13-15,Asian_552,
African_586_1,13,African,586,13-15,African_586,
Caucasian_103_21,13,Caucasian,103,13-15,Caucasian_103,
African_452_5,13,African,452,13-15,African_452,
African_127_6,15,African,127,13-15,African_127,
African_220_11,14,African,220,13-15,African_220,
Asian_167_16,15,Asian,167,13-15,Asian_167,
Indian_717_0,14,Indian,717,13-15,Indian_717,
African_773_0,14,African,773,13-15,African_773,
Indian_161_0,13,Indian,161,13-15,Indian_161,
African_33_3,14,African,33,13-15,African_33,
Indian_553_0,13,Indian,553,13-15,Indian_553,
African_31_3,15,African,31,13-15,African_31,
Indian_414_7,13,Indian,414,13-15,Indian_414,
Caucasian_99_15,14,Caucasian,99,13-15,Caucasian_99,
African_621_0,13,African,621,13-15,African_621,
Indian_603_0,13,Indian,603,13-15,Indian_603,
Asian_347_45,14,Asian,347,13-15,Asian_347,
African_403_2,13,African,403,13-15,African_403,
Indian_310_0,15,Indian,310,13-15,Indian_310,
Asian_99_102,13,Asian,99,13-15,Asian_99,
Asian_266_47,13,Asian,266,13-15,Asian_266,
Caucasian_390_32,14,Caucasian,390,13-15,Caucasian_390,
Asian_220_37,13,Asian,220,13-15,Asian_220,
Caucasian_1115_1,14,Caucasian,1115,13-15,Caucasian_1115,
Caucasian_60_6,14,Caucasian,60,13-15,Caucasian_60,
African_148_0,14,African,148,13-15,African_148,
Caucasian_421_4,14,Caucasian,421,13-15,Caucasian_421,
Indian_498_0,13,Indian,498,13-15,Indian_498,
Indian_188_0,13,Indian,188,13-15,Indian_188,
Indian_210_1,13,Indian,210,13-15,Indian_210,
Asian_23_2,13,Asian,23,13-15,Asian_23,
African_820_10,14,African,820,13-15,African_820,
Asian_28_12,15,Asian,28,13-15,Asian_28,
Asian_24_54,15,Asian,24,13-15,Asian_24,
African_161_0,13,African,161,13-15,African_161,
Indian_620_0,14,Indian,620,13-15,Indian_620,
Indian_556_8,15,Indian,556,13-15,Indian_556,
Indian_414_17,14,Indian,414,13-15,Indian_414,
Asian_343_89,15,Asian,343,13-15,Asian_343,
Indian_10_12,13,Indian,10,13-15,Indian_10,
Indian_190_0,14,Indian,190,13-15,Indian_190,
Caucasian_213_14,13,Caucasian,213,13-15,Caucasian_213,
Indian_414_45,14,Indian,414,13-15,Indian_414,
African_269_0,14,African,269,13-15,African_269,
Caucasian_1323_41,13,Caucasian,1323,13-15,Caucasian_1323,
Indian_269_34,14,Indian,269,13-15,Indian_269,
Indian_608_2,13,Indian,608,13-15,Indian_608,
Caucasian_463_10,14,Caucasian,463,13-15,Caucasian_463,
African_178_44,15,African,178,13-15,African_178,
Caucasian_553_65,14,Caucasian,553,13-15,Caucasian_553,
Indian_468_0,13,Indian,468,13-15,Indian_468,
Caucasian_142_6,15,Caucasian,142,13-15,Caucasian_142,
Indian_36_35,13,Indian,36,13-15,Indian_36,
Indian_117_0,13,Indian,117,13-15,Indian_117,
Indian_521_4,15,Indian,521,13-15,Indian_521,
African_121_2,13,African,121,13-15,African_121,
Asian_642_24,14,Asian,642,13-15,Asian_642,
African_708_1,13,African,708,13-15,African_708,
Caucasian_214_65,15,Caucasian,214,13-15,Caucasian_214,
African_215_0,14,African,215,13-15,African_215,
African_716_1,14,African,716,13-15,African_716,
Asian_22_0,15,Asian,22,13-15,Asian_22,
Caucasian_500_18,14,Caucasian,500,13-15,Caucasian_500,
African_359_119,15,African,359,13-15,African_359,
Indian_555_0,15,Indian,555,13-15,Indian_555,
African_642_4,13,African,642,13-15,African_642,
Caucasian_1188_21,15,Caucasian,1188,13-15,Caucasian_1188,
Caucasian_1336_6,13,Caucasian,1336,13-15,Caucasian_1336,
African_709_0,14,African,709,13-15,African_709,
African_241_100,13,African,241,13-15,African_241,
Asian_252_2,14,Asian,252,13-15,Asian_252,
Indian_40_37,14,Indian,40,13-15,Indian_40,
African_498_3,13,African,498,13-15,African_498,
Caucasian_511_0,15,Caucasian,511,13-15,Caucasian_511,
Caucasian_1399_20,15,Caucasian,1399,13-15,Caucasian_1399,
African_3_31,13,African,3,13-15,African_3,
Indian_392_51,13,Indian,392,13-15,Indian_392,
African_240_3,15,African,240,13-15,African_240,
African_40_5,14,African,40,13-15,African_40,
African_401_1,13,African,401,13-15,African_401,
African_436_4,13,African,436,13-15,African_436,
Asian_28_18,14,Asian,28,13-15,Asian_28,
African_441_3,15,African,441,13-15,African_441,
Asian_722_16,15,Asian,722,13-15,Asian_722,
African_192_2,15,African,192,13-15,African_192,
Indian_124_2,14,Indian,124,13-15,Indian_124,
Caucasian_323_3,13,Caucasian,323,13-15,Caucasian_323,
Asian_342_12,14,Asian,342,13-15,Asian_342,
Asian_59_2,13,Asian,59,13-15,Asian_59,
Indian_476_0,14,Indian,476,13-15,Indian_476,
Indian_277_0,14,Indian,277,13-15,Indian_277,
Caucasian_218_19,15,Caucasian,218,13-15,Caucasian_218,
Indian_717_1,13,Indian,717,13-15,Indian_717,
African_160_3,15,African,160,13-15,African_160,
Asian_193_6,13,Asian,193,13-15,Asian_193,
African_146_8,14,African,146,13-15,African_146,
Indian_481_1,14,Indian,481,13-15,Indian_481,
Asian_386_38,13,Asian,386,13-15,Asian_386,
African_369_19,13,African,369,13-15,African_369,
Indian_262_6,14,Indian,262,13-15,Indian_262,
Indian_162_2,15,Indian,162,13-15,Indian_162,
Indian_50_0,15,Indian,50,13-15,Indian_50,
Indian_55_2,15,Indian,55,13-15,Indian_55,
Asian_423_35,14,Asian,423,13-15,Asian_423,
Asian_593_2,13,Asian,593,13-15,Asian_593,
Indian_521_7,14,Indian,521,13-15,Indian_521,
Caucasian_1299_62,14,Caucasian,1299,13-15,Caucasian_1299,
Indian_91_0,15,Indian,91,13-15,Indian_91,
Asian_423_24,15,Asian,423,13-15,Asian_423,
Indian_74_0,14,Indian,74,13-15,Indian_74,
Indian_318_14,14,Indian,318,13-15,Indian_318,
Indian_679_12,15,Indian,679,13-15,Indian_679,
African_557_1,14,African,557,13-15,African_557,
Indian_406_0,15,Indian,406,13-15,Indian_406,
African_370_5,15,African,370,13-15,African_370,
African_405_2,14,African,405,13-15,African_405,
Caucasian_500_6,13,Caucasian,500,13-15,Caucasian_500,
Caucasian_417_17,15,Caucasian,417,13-15,Caucasian_417,
African_395_0,14,African,395,13-15,African_395,
Caucasian_407_50,15,Caucasian,407,13-15,Caucasian_407,
African_462_42,13,African,462,13-15,African_462,
Asian_552_2,15,Asian,552,13-15,Asian_552,
African_363_10,15,African,363,13-15,African_363,
Indian_479_0,13,Indian,479,13-15,Indian_479,
Indian_18_17,15,Indian,18,13-15,Indian_18,
African_352_4,14,African,352,13-15,African_352,
African_713_2,14,African,713,13-15,African_713,
Caucasian_553_75,15,Caucasian,553,13-15,Caucasian_553,
Indian_577_32,13,Indian,577,13-15,Indian_577,
Caucasian_1354_65,14,Caucasian,1354,13-15,Caucasian_1354,
African_192_7,14,African,192,13-15,African_192,
Caucasian_285_73,13,Caucasian,285,13-15,Caucasian_285,
Indian_168_4,14,Indian,168,13-15,Indian_168,
African_511_1,14,African,511,13-15,African_511,
African_412_21,13,African,412,13-15,African_412,
Asian_23_1,13,Asian,23,13-15,Asian_23,
Caucasian_194_9,15,Caucasian,194,13-15,Caucasian_194,
African_153_6,15,African,153,13-15,African_153,
Indian_432_0,13,Indian,432,13-15,Indian_432,
Asian_219_30,14,Asian,219,13-15,Asian_219,
Indian_417_1,13,Indian,417,13-15,Indian_417,
African_517_8,14,African,517,13-15,African_517,
African_769_3,14,African,769,13-15,African_769,
African_618_5,13,African,618,13-15,African_618,
Indian_552_2,14,Indian,552,13-15,Indian_552,
Indian_620_6,15,Indian,620,13-15,Indian_620,
African_769_1,15,African,769,13-15,African_769,
Asian_46_1,14,Asian,46,13-15,Asian_46,
Caucasian_332_8,14,Caucasian,332,13-15,Caucasian_332,
Indian_208_362,14,Indian,208,13-15,Indian_208,
Asian_168_18,13,Asian,168,13-15,Asian_168,
Caucasian_100_1,13,Caucasian,100,13-15,Caucasian_100,
Caucasian_390_88,13,Caucasian,390,13-15,Caucasian_390,
African_691_6,15,African,691,13-15,African_691,
Asian_310_89,13,Asian,310,13-15,Asian_310,
African_675_2,14,African,675,13-15,African_675,
African_319_14,13,African,319,13-15,African_319,
Indian_262_3,13,Indian,262,13-15,Indian_262,
Asian_417_1,14,Asian,417,13-15,Asian_417,
African_389_3,14,African,389,13-15,African_389,
Indian_64_0,14,Indian,64,13-15,Indian_64,
African_194_6,15,African,194,13-15,African_194,
Asian_266_42,13,Asian,266,13-15,Asian_266,
African_316_0,14,African,316,13-15,African_316,
Asian_267_1,15,Asian,267,13-15,Asian_267,
Caucasian_285_49,14,Caucasian,285,13-15,Caucasian_285,
African_432_2,14,African,432,13-15,African_432,
Caucasian_1102_14,13,Caucasian,1102,13-15,Caucasian_1102,
Caucasian_1410_47,13,Caucasian,1410,13-15,Caucasian_1410,
Asian_36_8,14,Asian,36,13-15,Asian_36,
Asian_46_4,13,Asian,46,13-15,Asian_46,
African_304_5,15,African,304,13-15,African_304,
Indian_594_0,13,Indian,594,13-15,Indian_594,
Caucasian_546_23,15,Caucasian,546,13-15,Caucasian_546,
Asian_182_18,15,Asian,182,13-15,Asian_182,
Indian_692_0,14,Indian,692,13-15,Indian_692,
African_814_3,13,African,814,13-15,African_814,
African_68_5,14,African,68,13-15,African_68,
Asian_22_4,14,Asian,22,13-15,Asian_22,
Asian_472_5,14,Asian,472,13-15,Asian_472,
African_511_0,13,African,511,13-15,African_511,
Indian_255_7,13,Indian,255,13-15,Indian_255,
Caucasian_73_17,14,Caucasian,73,13-15,Caucasian_73,
African_279_30,14,African,279,13-15,African_279,
Caucasian_7_10,14,Caucasian,7,13-15,Caucasian_7,
Caucasian_39_15,15,Caucasian,39,13-15,Caucasian_39,
African_504_5,13,African,504,13-15,African_504,
African_92_0,14,African,92,13-15,African_92,
African_650_0,13,African,650,13-15,African_650,
Asian_38_7,13,Asian,38,13-15,Asian_38,
Asian_734_0,13,Asian,734,13-15,Asian_734,
Asian_266_20,15,Asian,266,13-15,Asian_266,
African_556_15,15,African,556,13-15,African_556,
Indian_460_0,13,Indian,460,13-15,Indian_460,
Caucasian_462_32,15,Caucasian,462,13-15,Caucasian_462,
Indian_552_1,13,Indian,552,13-15,Indian_552,
Asian_59_0,13,Asian,59,13-15,Asian_59,
Caucasian_7_11,15,Caucasian,7,13-15,Caucasian_7,
Indian_458_0,13,Indian,458,13-15,Indian_458,
Asian_262_11,13,Asian,262,13-15,Asian_262,
African_780_2,14,African,780,13-15,African_780,
Asian_572_4,13,Asian,572,13-15,Asian_572,
Caucasian_603_74,13,Caucasian,603,13-15,Caucasian_603,
Asian_28_11,15,Asian,28,13-15,Asian_28,
African_306_0,13,African,306,13-15,African_306,
African_218_1,13,African,218,13-15,African_218,
African_815_18,14,African,815,13-15,African_815,
Indian_406_2,15,Indian,406,13-15,Indian_406,
African_678_0,14,African,678,13-15,African_678,
African_99_2,15,African,99,13-15,African_99,
African_802_1,13,African,802,13-15,African_802,
Caucasian_500_11,14,Caucasian,500,13-15,Caucasian_500,
Indian_36_5,13,Indian,36,13-15,Indian_36,
African_32_3,13,African,32,13-15,African_32,
African_427_13,13,African,427,13-15,African_427,
African_40_9,14,African,40,13-15,African_40,
African_634_24,14,African,634,13-15,African_634,
African_241_24,14,African,241,13-15,African_241,
African_486_1,14,African,486,13-15,African_486,
Indian_581_8,15,Indian,581,13-15,Indian_581,
African_731_4,15,African,731,13-15,African_731,
Indian_104_0,14,Indian,104,13-15,Indian_104,
Caucasian_1322_10,13,Caucasian,1322,13-15,Caucasian_1322,
Indian_439_0,14,Indian,439,13-15,Indian_439,
Asian_137_6,13,Asian,137,13-15,Asian_137,
Asian_167_24,13,Asian,167,13-15,Asian_167,
Indian_577_22,15,Indian,577,13-15,Indian_577,
Indian_695_11,13,Indian,695,13-15,Indian_695,
African_802_3,14,African,802,13-15,African_802,
Indian_620_1,15,Indian,620,13-15,Indian_620,
African_218_2,14,African,218,13-15,African_218,
African_483_6,13,African,483,13-15,African_483,
Asian_95_1,14,Asian,95,13-15,Asian_95,
Indian_41_0,15,Indian,41,13-15,Indian_41,
Indian_18_5,15,Indian,18,13-15,Indian_18,
Asian_436_1,15,Asian,436,13-15,Asian_436,
Indian_679_11,14,Indian,679,13-15,Indian_679,
Caucasian_1318_29,13,Caucasian,1318,13-15,Caucasian_1318,
Caucasian_458_35,14,Caucasian,458,13-15,Caucasian_458,
Indian_61_0,13,Indian,61,13-15,Indian_61,
Indian_318_0,14,Indian,318,13-15,Indian_318,
African_110_0,14,African,110,13-15,African_110,
Caucasian_111_11,14,Caucasian,111,13-15,Caucasian_111,
Indian_132_2,15,Indian,132,13-15,Indian_132,
Caucasian_285_75,15,Caucasian,285,13-15,Caucasian_285,
Caucasian_532_28,13,Caucasian,532,13-15,Caucasian_532,
Asian_63_3,14,Asian,63,13-15,Asian_63,
African_57_2,13,African,57,13-15,African_57,
Caucasian_301_99,13,Caucasian,301,13-15,Caucasian_301,
Indian_556_3,14,Indian,556,13-15,Indian_556,
African_226_1,13,African,226,13-15,African_226,
Caucasian_1298_82,15,Caucasian,1298,13-15,Caucasian_1298,
Indian_319_13,13,Indian,319,13-15,Indian_319,
African_442_0,15,African,442,13-15,African_442,
Caucasian_111_9,13,Caucasian,111,13-15,Caucasian_111,
Asian_225_59,13,Asian,225,13-15,Asian_225,
Caucasian_1016_0,14,Caucasian,1016,13-15,Caucasian_1016,
Asian_176_87,14,Asian,176,13-15,Asian_176,
Caucasian_232_10,13,Caucasian,232,13-15,Caucasian_232,
Asian_584_25,13,Asian,584,13-15,Asian_584,
Caucasian_178_32,13,Caucasian,178,13-15,Caucasian_178,
Indian_262_4,15,Indian,262,13-15,Indian_262,
Caucasian_1215_2,13,Caucasian,1215,13-15,Caucasian_1215,
African_391_0,13,African,391,13-15,African_391,
Indian_30_1,14,Indian,30,13-15,Indian_30,
Indian_323_2,15,Indian,323,13-15,Indian_323,
Asian_346_64,13,Asian,346,13-15,Asian_346,
Asian_474_2,14,Asian,474,13-15,Asian_474,
African_178_39,13,African,178,13-15,African_178,
Indian_169_6,13,Indian,169,13-15,Indian_169,
African_241_55,14,African,241,13-15,African_241,
Indian_581_18,14,Indian,581,13-15,Indian_581,
African_36_4,15,African,36,13-15,African_36,
African_705_0,13,African,705,13-15,African_705,
Caucasian_329_85,15,Caucasian,329,13-15,Caucasian_329,
Caucasian_420_62,13,Caucasian,420,13-15,Caucasian_420,
Caucasian_553_67,15,Caucasian,553,13-15,Caucasian_553,
African_670_0,15,African,670,13-15,African_670,
Indian_262_0,14,Indian,262,13-15,Indian_262,
African_401_5,13,African,401,13-15,African_401,
Indian_475_0,14,Indian,475,13-15,Indian_475,
Asian_516_11,14,Asian,516,13-15,Asian_516,
Indian_113_2,13,Indian,113,13-15,Indian_113,
African_91_2,13,African,91,13-15,African_91,
African_691_8,15,African,691,13-15,African_691,
African_113_0,15,African,113,13-15,African_113,
African_109_3,13,African,109,13-15,African_109,
Caucasian_1298_61,13,Caucasian,1298,13-15,Caucasian_1298,
African_751_11,15,African,751,13-15,African_751,
Indian_16_19,14,Indian,16,13-15,Indian_16,
Indian_524_5,13,Indian,524,13-15,Indian_524,
African_208_0,14,African,208,13-15,African_208,
African_802_5,14,African,802,13-15,African_802,
Caucasian_1259_1,13,Caucasian,1259,13-15,Caucasian_1259,
Indian_57_18,14,Indian,57,13-15,Indian_57,
Asian_145_0,14,Asian,145,13-15,Asian_145,
African_577_0,15,African,577,13-15,African_577,
African_711_4,14,African,711,13-15,African_711,
African_813_5,15,African,813,13-15,African_813,
Indian_370_2,13,Indian,370,13-15,Indian_370,
African_289_0,15,African,289,13-15,African_289,
African_34_9,15,African,34,13-15,African_34,
African_627_0,15,African,627,13-15,African_627,
African_752_1,13,African,752,13-15,African_752,
African_398_2,13,African,398,13-15,African_398,
Indian_423_0,13,Indian,423,13-15,Indian_423,
African_178_77,13,African,178,13-15,African_178,
Asian_137_3,14,Asian,137,13-15,Asian_137,
African_191_22,15,African,191,13-15,African_191,
Indian_277_1,14,Indian,277,13-15,Indian_277,
African_41_0,13,African,41,13-15,African_41,
Indian_521_3,13,Indian,521,13-15,Indian_521,
Asian_28_19,14,Asian,28,13-15,Asian_28,
African_75_2,15,African,75,13-15,African_75,
Indian_51_0,13,Indian,51,13-15,Indian_51,
m.0b_n83_0001,15,Indian,0b_n83,13-15,m.0b_n83,1.0
m.0h1fnvm_0001,14,Indian,0h1fnvm,13-15,m.0h1fnvm,1.0
m.06w9rdb_0003,13,Indian,06w9rdb,13-15,m.06w9rdb,3.0
m.0bh8tm0_0001,14,Indian,0bh8tm0,13-15,m.0bh8tm0,1.0
m.09ld6g_0001,15,Indian,09ld6g,13-15,m.09ld6g,1.0
m.0b6bj4_0001,14,Indian,0b6bj4,13-15,m.0b6bj4,1.0
m.04n3v0__0002,13,Indian,04n3v0_,13-15,m.04n3v0_,2.0
m.04mz6m8_0002,15,Indian,04mz6m8,13-15,m.04mz6m8,2.0
m.08jn6t_0003,13,Indian,08jn6t,13-15,m.08jn6t,3.0
m.0h9448x_0001,14,Indian,0h9448x,13-15,m.0h9448x,1.0
m.0h9448x_0002,14,Indian,0h9448x,13-15,m.0h9448x,2.0
m.0crgm59_0003,13,Indian,0crgm59,13-15,m.0crgm59,3.0
m.03qcz13_0005,13,Indian,03qcz13,13-15,m.03qcz13,5.0
m.0j63px2_0004,15,Indian,0j63px2,13-15,m.0j63px2,4.0
m.05c1gll_0001,13,Indian,05c1gll,13-15,m.05c1gll,1.0
m.05c1gll_0003,13,Indian,05c1gll,13-15,m.05c1gll,3.0
m.04112vx_0003,14,Indian,04112vx,13-15,m.04112vx,3.0
m.04gq5mw_0003,15,Indian,04gq5mw,13-15,m.04gq5mw,3.0
m.0qft6yv_0003,13,African,0qft6yv,13-15,m.0qft6yv,3.0
m.02z7z7t_0003,14,African,02z7z7t,13-15,m.02z7z7t,3.0
m.0h3mdym_0004,15,African,0h3mdym,13-15,m.0h3mdym,4.0
m.0crjgjj_0003,15,African,0crjgjj,13-15,m.0crjgjj,3.0
m.03qqm1g_0003,13,African,03qqm1g,13-15,m.03qqm1g,3.0
m.04d_7nc_0003,15,Caucasian,04d_7nc,13-15,m.04d_7nc,3.0
m.0b087y_0004,15,Caucasian,0b087y,13-15,m.0b087y,4.0
m.02qvtbg_0003,15,Caucasian,02qvtbg,13-15,m.02qvtbg,3.0
m.02qvtbg_0004,15,Caucasian,02qvtbg,13-15,m.02qvtbg,4.0
m.03mc3p4_0002,15,Caucasian,03mc3p4,13-15,m.03mc3p4,2.0
m.060ckn_0001,14,Caucasian,060ckn,13-15,m.060ckn,1.0
m.060ckn_0002,14,Caucasian,060ckn,13-15,m.060ckn,2.0
m.067_jr_0003,14,Caucasian,067_jr,13-15,m.067_jr,3.0
m.0gdms9__0003,15,Caucasian,0gdms9_,13-15,m.0gdms9_,3.0
m.0gdms9__0002,15,Caucasian,0gdms9_,13-15,m.0gdms9_,2.0
m.0gdms9__0001,14,Caucasian,0gdms9_,13-15,m.0gdms9_,1.0
m.02pstft_0004,15,Caucasian,02pstft,13-15,m.02pstft,4.0
m.02pstft_0001,13,Caucasian,02pstft,13-15,m.02pstft,1.0
m.05sztm0_0004,13,Caucasian,05sztm0,13-15,m.05sztm0,4.0
m.03hj_vm_0003,15,Caucasian,03hj_vm,13-15,m.03hj_vm,3.0
m.0868nf_0003,15,Caucasian,0868nf,13-15,m.0868nf,3.0
m.0868nf_0002,13,Caucasian,0868nf,13-15,m.0868nf,2.0
m.02lrn6_0003,15,Caucasian,02lrn6,13-15,m.02lrn6,3.0
m.061b24_0002,15,Caucasian,061b24,13-15,m.061b24,2.0
m.061b24_0001,13,Caucasian,061b24,13-15,m.061b24,1.0
m.026kw4b_0002,15,Caucasian,026kw4b,13-15,m.026kw4b,2.0
m.026kw4b_0003,13,Caucasian,026kw4b,13-15,m.026kw4b,3.0
m.026kw4b_0001,14,Caucasian,026kw4b,13-15,m.026kw4b,1.0
m.05h2n7l_0002,14,Caucasian,05h2n7l,13-15,m.05h2n7l,2.0
m.01r4447_0001,13,Caucasian,01r4447,13-15,m.01r4447,1.0
